# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-s" "2" "-p" "-B" "-C" "-t" "exon" "-g" "gene_name" "-a" "/scratch/evt82290/MappingOutputs/RNAseq_split/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.flipped.gtf" "-o" "/scratch/evt82290/MappingOutputs/RNAseq_split/counts/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140.antisense.txt" "/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam
NCU09204	CM002236.1;CM002236.1;CM002236.1	5822712;5823268;5824258	5823118;5824199;5824867	-;-;-	1949	2
vad-6	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5826154;5827428;5828716;5828892;5829189	5827321;5828653;5828834;5829126;5830642	-;-;-;-;-	4202	0
NCU09206	CM002236.1;CM002236.1	5831618;5832300	5832238;5834143	-;-	2465	0
NCU16406	CM002236.1;CM002236.1	5834893;5835319	5835253;5835993	-;-	1036	0
NCU15035	CM002236.1	5837245	5837316	-	72	0
NCU09207	CM002236.1;CM002236.1;CM002236.1	5838082;5839192;5839330	5839120;5839251;5841713	-;-;-	3483	10
NCU09208	CM002236.1	5841968	5844820	-	2853	0
NCU09209	CM002236.1;CM002236.1	5845361;5845748	5845678;5847904	+;+	2475	64
NCU09210	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5849601;5849717;5850013;5850449;5850606;5850776;5850930	5849650;5849954;5850389;5850541;5850716;5850873;5852150	-;-;-;-;-;-;-	2188	5
sad-3	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5853014;5853688;5853859;5855144;5856110;5856819	5853619;5853764;5855063;5856046;5856762;5856857	+;+;+;+;+;+	3483	64
camk-4	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5860484;5860484;5861523;5861523;5862125;5862353;5862353;5862658;5862658	5861393;5861393;5862013;5862013;5862178;5862597;5862597;5864300;5864300	-;-;-;-;-;-;-;-;-	3343	14
NCU09213	CM002236.1	5865633	5867880	-	2248	138
NCU14026	CM002236.1;CM002236.1;CM002236.1	5868734;5868874;5869904	5868814;5869661;5870116	+;+;+	1082	2
NCU09214	CM002236.1;CM002236.1;CM002236.1	5876414;5876932;5877312	5876875;5877258;5877989	-;-;-	1467	2
NCU09215	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5879129;5879129;5879931;5879931;5880080;5880080	5879803;5879798;5880007;5880007;5880406;5880406	+;+;+;+;+;+	1079	10
NCU09216	CM002236.1;CM002236.1;CM002236.1	5880601;5881527;5881754	5881318;5881648;5882162	-;-;-	1249	111
NCU09217	CM002236.1;CM002236.1;CM002236.1	5882032;5883402;5883544	5883334;5883485;5883887	+;+;+	1731	441
NCU09218	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5884085;5884085;5884256;5884524;5884524	5884439;5884178;5884439;5885993;5888390	-;-;-;-;-	4222	942
NCU09219	CM002236.1;CM002236.1;CM002236.1;CM002236.1	5885739;5889082;5889376;5891985	5889029;5889317;5891905;5892419	+;+;+;+	6492	84
NCU09220	CM002236.1	5892660	5895339	-	2680	2
NCU09221	CM002236.1;CM002236.1	5895528;5897421	5897352;5897810	+;+	2215	0
NCU09222	CM002236.1;CM002236.1;CM002236.1	5898045;5898536;5898996	5898468;5898641;5899471	+;+;+	1006	5
NCU09223	CM002236.1;CM002236.1;CM002236.1	5899718;5901440;5901814	5901375;5901591;5902177	+;+;+	2174	4
NCU09224	CM002236.1;CM002236.1;CM002236.1;CM002236.1	5904413;5904664;5905178;5906420	5904547;5905128;5906130;5906736	-;-;-;-	1870	0
NCU09225	CM002236.1	5908531	5909613	-	1083	4
NCU09226	CM002236.1;CM002236.1	5909898;5911374	5911291;5911777	+;+	1798	0
NCU09227	CM002236.1;CM002236.1;CM002236.1	5911948;5912522;5912830	5912402;5912773;5914514	+;+;+	2392	20
NCU09228	CM002236.1;CM002236.1;CM002236.1;CM002236.1	5914764;5915581;5917603;5918267	5915511;5917495;5918010;5918962	+;+;+;+	3767	22
emp-7	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5945167;5945766;5946175;5946175;5946379;5946379;5946781;5946781	5945759;5946062;5946305;5946305;5946724;5946724;5947804;5948228	-;-;-;-;-;-;-;-	2815	120
NCU10043	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5948530;5948530;5949990;5950059;5950561;5950561	5949927;5949927;5950503;5950503;5953245;5953245	-;-;-;-;-;-	4597	54
NCU10044	CM002236.1;CM002236.1	5953123;5954535	5954415;5955256	+;+	2015	34
NCU07425	CM002236.1;CM002236.1;CM002236.1;CM002236.1	5978681;5978785;5979123;5979123	5979049;5979026;5983001;5983001	-;-;-;-	4248	11
NCU07424	CM002236.1	5982975	5983852	+	878	81
NCU07423	CM002236.1;CM002236.1;CM002236.1	5984080;5984657;5985892	5984596;5985806;5986815	-;-;-	2591	10
NCU07422	CM002236.1;CM002236.1	5986832;5988176	5988117;5988594	+;+	1705	6
NCU07421	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5988632;5989400;5989609;5989733;5989840;5989928;5990350;5990551	5989342;5989547;5989675;5989778;5989871;5989962;5990454;5990867	+;+;+;+;+;+;+;+	1461	0
NCU07420	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	5991254;5992669;5993082;5993213;5993479	5992602;5993027;5993150;5993287;5993836	+;+;+;+;+	2210	9
NCU07419	CM002236.1;CM002236.1	5994253;5995251	5994930;5996673	-;-	2101	10
NCU07418	CM002236.1;CM002236.1;CM002236.1	5997726;5999913;6000687	5999861;6000635;6001484	-;-;-	3657	6
NCU07417	CM002236.1;CM002236.1	6002318;6003814	6003710;6004627	-;-	2207	27
NCU07416	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6004604;6004604;6006528;6006533	6006324;6006324;6006823;6006823	+;+;+;+	2017	1
NCU07415	CM002236.1;CM002236.1	6007317;6007746	6007681;6009614	-;-	2234	203
hypothetical protein similar to protein mitochondrial targeting protein Mas5	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6007820;6010716;6011610;6011745;6012191	6010658;6011546;6011679;6011910;6012507	+;+;+;+;+	4223	1241
NCU07413	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6013542;6013542;6013777;6014059;6014059;6014264;6014264;6014264	6013856;6013856;6013856;6014145;6014149;6014709;6014709;6014765	-;-;-;-;-;-;-;-	908	26
NCU07412	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6014673;6017438;6019884;6020492	6017383;6019403;6020367;6022290	+;+;+;+	6960	14
NCU07411	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6028440;6029794;6030037;6031454;6032036	6029707;6029976;6031391;6031977;6032698	-;-;-;-;-	3993	8
NCU07410	CM002236.1;CM002236.1;CM002236.1	6034754;6035378;6035537	6035191;6035441;6037325	-;-;-	2291	41
NCU07409	CM002236.1;CM002236.1;CM002236.1	6037229;6037760;6039269	6037690;6039211;6039332	+;+;+	1978	6
po	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6039626;6039660;6039999;6039999;6040819;6040819;6041261	6039933;6039933;6040759;6040759;6041369;6041045;6042015	-;-;-;-;-;-;-	2266	2486
msh1	CM002236.1;CM002236.1;CM002236.1	6041192;6043406;6044352	6043343;6044234;6045529	+;+;+	4159	1736
NCU07406	CM002236.1;CM002236.1	6046385;6046785	6046720;6047033	-;-	585	2
NCU07405	CM002236.1	6048250	6050418	-	2169	176
NCU16408	CM002236.1;CM002236.1;CM002236.1	6050368;6050575;6051388	6050501;6051329;6051530	-;-;-	1032	6
gh38-1	CM002236.1;CM002236.1	6052484;6054908	6054848;6056765	-;-	4223	20
NCU07403	CM002236.1;CM002236.1	6056898;6058423	6058265;6058789	+;+	1735	4
NCU07402	CM002236.1;CM002236.1;CM002236.1	6059254;6060077;6060685	6060005;6060625;6061221	+;+;+	1838	0
NCU07401	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6061391;6061391;6062257;6062257;6062722;6062722	6062128;6061814;6062653;6062653;6063672;6063625	-;-;-;-;-;-	2086	2
NCU07400	CM002236.1;CM002236.1;CM002236.1	6064330;6064584;6066078	6064428;6066002;6068851	-;-;-	4292	222
stk-9	CM002236.1;CM002236.1;CM002236.1	6070178;6070872;6071512	6070790;6071439;6072411	-;-;-	2081	13
NCU07398	CM002236.1;CM002236.1;CM002236.1	6072812;6075475;6076135	6075404;6076029;6077173	+;+;+	4187	5
NCU07396	CM002236.1	6079715	6080520	+	806	6
NCU07395	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6082244;6082244;6082840;6082840;6083300;6083300;6084413;6084805;6084805	6082747;6082747;6083060;6083060;6084352;6084644;6084644;6085473;6085636	+;+;+;+;+;+;+;+;+	2902	1204
NCU07394	CM002236.1;CM002236.1	6085688;6086597	6086543;6087120	+;+	1380	2
NCU07393	CM002236.1;CM002236.1;CM002236.1	6087696;6088158;6088663	6088098;6088604;6092398	-;-;-	4586	291
adv-1	CM002236.1;CM002236.1	6094075;6097542	6097443;6098544	+;+	4372	65
NCU07390	CM002236.1;CM002236.1	6107558;6108187	6107597;6108341	-;-	195	47
ham-9	CM002236.1;CM002236.1;CM002236.1	6111415;6112265;6112553	6112204;6112495;6115757	-;-;-	4226	8
NCU07388	CM002236.1	6119696	6123216	-	3521	2
NCU07387	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6123268;6123751;6125303;6125708;6126014	6123691;6125242;6125381;6125732;6126724	+;+;+;+;+	2731	2
NCU07386	CM002236.1;CM002236.1	6130028;6131541	6131159;6132072	+;+	1664	4
NCU07385	CM002236.1	6132311	6134505	+	2195	40
NCU07384	CM002236.1;CM002236.1	6134820;6136289	6136187;6137329	-;-	2409	4
NCU11349	CM002236.1	6137645	6138443	+	799	0
NCU07383	CM002236.1;CM002236.1	6139076;6140919	6140805;6141432	+;+	2244	2
NCU07382	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6142453;6142480;6143029;6143029;6143369;6143369	6142587;6142657;6143279;6143279;6143778;6143891	-;-;-;-;-;-	979	8
NCU07381	CM002236.1	6143816	6147203	+	3388	40
NCU07380	CM002236.1;CM002236.1;CM002236.1	6147310;6148168;6149502	6148103;6149413;6149913	+;+;+	2452	4
NCU07379	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6150098;6150098;6150554;6150554;6151142;6151142;6151656;6151656;6151813;6151813;6152292	6150454;6150454;6150970;6150970;6151600;6151600;6151743;6151743;6152932;6152025;6152743	+;+;+;+;+;+;+;+;+;+;+	2441	12
stk-12	CM002236.1;CM002236.1	6158890;6160762	6160672;6166641	-;-	7663	2
NCU16409	CM002236.1;CM002236.1;CM002236.1	6169365;6169619;6169955	6169393;6169814;6170287	+;+;+	558	0
NCU07375	CM002236.1;CM002236.1	6171978;6173053	6172987;6174862	-;-	2820	2
NCU07374	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6175160;6176470;6176722;6176852;6176990;6177080;6178030;6178915	6176399;6176666;6176796;6176907;6177020;6177976;6178635;6178940	+;+;+;+;+;+;+;+	3128	4
NCU07372	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6183753;6184091;6184500;6184913	6184024;6184429;6184835;6185475	-;-;-;-	1510	0
NCU07371	CM002236.1;CM002236.1	6186628;6187165	6187104;6187317	-;-	630	0
NCU07370	CM002236.1;CM002236.1	6188727;6189061	6188987;6189327	-;-	528	4
NCU07369	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6192967;6193100;6193423;6193744;6194036;6195221	6193028;6193367;6193473;6193944;6195148;6195331	-;-;-;-;-;-	1806	38
NCU07368	CM002236.1;CM002236.1	6193126;6195677	6195604;6197131	+;+	3934	10
rpt-4	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6200201;6200713;6201179;6201710	6200653;6201099;6201635;6202221	-;-;-;-	1809	112
gfa1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6205457;6206162;6206374;6206672;6208315	6205978;6206232;6206605;6208245;6208984	-;-;-;-;-	3069	29
pcb-7	CM002236.1;CM002236.1;CM002236.1	6208916;6209912;6210164	6209841;6210059;6210424	+;+;+	1335	288
NCU07364	CM002236.1;CM002236.1;CM002236.1	6210706;6210959;6211083	6210892;6211010;6212363	-;-;-	1520	6
NCU07363	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6212755;6213607;6213791;6214287	6213545;6213731;6214218;6214864	+;+;+;+	1922	0
NCU07362	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6218799;6219887;6220057;6221481	6219768;6219960;6221418;6221761	+;+;+;+	2687	22
NCU10658	CM002236.1;CM002236.1	6223084;6224134	6223993;6224727	-;-	1504	10
csn-4	CM002236.1	6224679	6226622	+	1944	120
NCU07360	CM002236.1	6227223	6229280	-	2058	194
NCU07359	CM002236.1;CM002236.1	6229128;6233578	6232329;6234621	+;+	4246	22
NCU07358	CM002236.1	6237020	6240640	+	3621	6
NCU15036	CM002236.1	6241625	6241695	+	71	0
NCU16411	CM002236.1;CM002236.1	6243420;6244153	6244094;6244337	+;+	860	4
NCU07355	CM002236.1;CM002236.1;CM002236.1	6262725;6263176;6263574	6263113;6263515;6265061	-;-;-	2217	2
NCU07354	CM002236.1;CM002236.1	6266990;6267095	6267003;6268040	+;+	960	2
NCU07353	CM002236.1;CM002236.1	6269599;6270173	6270099;6270811	+;+	1140	7
NCU07352	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6272570;6272570;6274087;6274087;6274401	6274010;6274010;6274336;6274575;6274575	+;+;+;+;+	1930	6
NCU07351	CM002236.1	6274777	6279789	-	5013	10
NCU07350	CM002236.1;CM002236.1	6278384;6279529	6279503;6279584	+;+	1176	585
NCU15037	CM002236.1	6280230	6280325	-	96	0
NCU07349	CM002236.1;CM002236.1	6280595;6281469	6281401;6282522	+;+	1861	2
NCU07348	CM002236.1	6283289	6284925	+	1637	24
NCU07347	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6289284;6289284;6291877;6292576;6292576	6291756;6292493;6292493;6293047;6293047	+;+;+;+;+	3682	4
NCU07345	CM002236.1;CM002236.1	6295972;6296507	6296440;6297125	-;-	1088	143
NCU07344	CM002236.1;CM002236.1	6297312;6297557	6297388;6297746	+;+	267	4
NCU10702	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6319360;6319627;6319733;6319893;6320469	6319365;6319665;6319780;6320174;6320600	-;-;-;-;-	507	0
NCU15038	CM002236.1	6329746	6329816	+	71	0
NCU09888	CM002236.1;CM002236.1	6333420;6334293	6334207;6335509	-;-	2005	62
NCU09887	CM002236.1;CM002236.1	6337133;6338143	6338047;6339107	-;-	1880	38
NCU15039	CM002236.1	6339466	6339564	-	99	0
NCU09886	CM002236.1;CM002236.1	6339630;6340522	6340405;6341292	+;+	1547	10
NCU09885	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6341494;6341495;6343167;6343291	6343074;6343862;6343205;6343995	-;-;-;-	2502	6
NCU09883	CM002236.1;CM002236.1;CM002236.1	6348794;6350076;6350470	6350026;6350410;6352040	-;-;-	3139	0
NCU09882	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6352727;6354003;6354253;6354763	6353831;6354172;6354694;6355694	+;+;+;+	2649	4
NCU09881	CM002236.1;CM002236.1;CM002236.1	6356019;6356802;6357559	6356741;6357476;6358635	-;-;-	2475	6
NCU09880	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6358376;6359775;6359909;6360122	6359715;6359849;6359980;6360265	+;+;+;+	1631	32
NCU10125	CM002236.1;CM002236.1	6358670;6359123	6359004;6359316	-;-	529	789
NCU09879	CM002236.1;CM002236.1	6360409;6360797	6360697;6362512	-;-	2005	103
NCU09878	CM002236.1;CM002236.1;CM002236.1	6362382;6363644;6364107	6363572;6364039;6364439	+;+;+	1920	52
NCU09877	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6364782;6365461;6365800;6366006	6365396;6365738;6365941;6367076	-;-;-;-	2106	0
NCU09876	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6369135;6369265;6369810;6370064;6370201	6369210;6369726;6369995;6370132;6371279	-;-;-;-;-	1872	12
NCU09875	CM002236.1	6373582	6375054	-	1473	0
NCU15040	CM002236.1	6377346	6377441	+	96	0
NCU09874	CM002236.1;CM002236.1;CM002236.1	6377952;6378755;6380705	6378677;6380618;6381151	+;+;+	3037	2
NCU00995	CM002236.1;CM002236.1	6456247;6457101	6457014;6457409	+;+	1077	18
NCU00994	CM002236.1;CM002236.1	6460422;6462466	6462402;6463240	-;-	2756	0
NCU00993	CM002236.1;CM002236.1;CM002236.1	6463811;6464535;6464720	6464449;6464663;6466194	-;-;-	2243	46
NCU15041	CM002236.1	6466320	6466411	-	92	0
NCU15042	CM002236.1	6466692	6466783	-	92	0
NCU00992	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6466804;6466804;6467198;6467198;6468613;6468613;6469119	6467120;6467120;6468500;6468500;6469993;6468714;6469993	+;+;+;+;+;+;+	3001	6
NCU00990	CM002236.1;CM002236.1;CM002236.1	6476265;6476657;6477458	6476596;6477384;6477882	+;+;+	1485	46
NCU00989	CM002236.1;CM002236.1	6479128;6479476	6479236;6479741	+;+	375	4
NCU14027	CM002236.1;CM002236.1	6479686;6480302	6480180;6480317	-;-	511	0
NCU00988	CM002236.1;CM002236.1;CM002236.1	6480932;6481352;6482591	6481274;6482460;6483194	-;-;-	2056	47
NCU00987	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6483063;6483455;6484530;6484789;6485383	6483376;6484462;6484729;6485267;6485622	+;+;+;+;+	2241	17
NCU16418	CM002236.1;CM002236.1	6486349;6486673	6486571;6487432	-;-	983	0
NCU00986	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6487337;6487779;6488189;6488362	6487702;6488114;6488293;6488711	-;-;-;-	1157	0
NCU00985	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6488909;6489336;6489868;6490325	6489268;6489808;6490271;6491198	+;+;+;+	2111	2
NCU00984	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6493466;6493485;6494075;6494075;6494540	6493982;6493982;6494245;6497118;6497204	+;+;+;+;+	3647	4
NCU00983	CM002236.1;CM002236.1;CM002236.1	6497697;6498703;6499343	6498640;6499252;6500515	+;+;+	2667	240
NCU16419	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6506885;6506925;6507402;6507927;6508045	6507126;6507992;6507538;6508134;6508068	+;+;+;+;+	1250	144
NCU00981	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6509214;6509606;6510193;6510555;6510691	6509538;6510047;6510478;6510573;6510877	+;+;+;+;+	1259	0
NCU00980	CM002236.1;CM002236.1	6510950;6512838	6512778;6513238	+;+	2230	2
NCU00979	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6513544;6513759;6513993;6514178	6513696;6513926;6514119;6514647	-;-;-;-	918	42
NCU00978	CM002236.1;CM002236.1	6514920;6517164	6517109;6518731	-;-	3758	2
NCU00977	CM002236.1	6518911	6520290	+	1380	5
NCU15043	CM002236.1	6520772	6520860	+	89	2
NCU00976	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6528335;6528523;6528727;6528917	6528357;6528565;6528743;6530279	+;+;+;+	1446	44
NCU00975	CM002236.1	6530972	6533216	+	2245	0
NCU00974	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6532962;6533396;6533541;6534315;6534315	6533449;6534233;6534233;6535189;6535198	+;+;+;+;+	2156	0
NCU00973	CM002236.1;CM002236.1	6537038;6538111	6538045;6538556	-;-	1454	98
NCU00972	CM002236.1;CM002236.1	6538989;6539839	6539774;6540399	-;-	1347	96
NCU00971	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6540857;6541251;6541644;6542003	6541057;6541327;6541940;6543550	-;-;-;-	2123	587
NCU00970	CM002236.1;CM002236.1	6542621;6543795	6543620;6543808	+;+	1014	8
nuo17.8	CM002236.1;CM002236.1;CM002236.1	6544165;6544790;6545136	6544430;6545037;6545566	+;+;+	945	8
NCU00968	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6545790;6545904;6545904;6546051;6546051	6545987;6548172;6545950;6548172;6548172	-;-;-;-;-	2383	609
NCU00967	CM002236.1;CM002236.1;CM002236.1	6547756;6549728;6551737	6549672;6551494;6551882	+;+;+	3830	16
NCU14028	CM002236.1;CM002236.1	6550876;6551737	6551494;6551852	+;+	735	0
NCU11197	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6552276;6552865;6553029;6553181;6553346;6553470	6552797;6552963;6553125;6553267;6553409;6553832	-;-;-;-;-;-	1232	659
NCU00966	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6553004;6554094;6554318;6554765;6554878	6554036;6554255;6554678;6554798;6555128	+;+;+;+;+	1841	546
NCU00965	CM002236.1;CM002236.1	6555261;6555541	6555470;6556586	-;-	1256	4
NCU00964	CM002236.1;CM002236.1;CM002236.1	6556583;6557894;6560358	6557835;6560301;6560934	+;+;+	4238	9
NCU00963	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6561211;6561211;6561764;6561768;6562125;6562125;6562972;6562972	6561513;6561513;6562051;6562051;6562857;6562857;6563449;6563449	-;-;-;-;-;-;-;-	1802	170
NCU00962	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6564410;6564410;6568536;6568536;6568795;6568795;6569178	6568478;6568478;6568740;6568740;6569116;6570526;6570526	+;+;+;+;+;+;+	6006	4
NCU00961	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6571351;6571806;6572149;6572370	6571491;6571849;6572254;6572486	-;-;-;-	408	12
NCU00960	CM002236.1;CM002236.1;CM002236.1	6575460;6575702;6576205	6575569;6576132;6576287	-;-;-	624	55
tca-10	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6576079;6576524;6577307;6577535;6577535	6577238;6577458;6577458;6578163;6578079	+;+;+;+;+	2009	6
NCU00958	CM002236.1;CM002236.1	6578497;6578667	6578590;6581008	-;-	2436	24
acw-2	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6581266;6582757;6583093;6583631	6582680;6583038;6583363;6584222	+;+;+;+	2560	53
NCU00956	CM002236.1;CM002236.1	6585342;6587254	6587164;6588112	+;+	2682	0
NCU00955	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6588124;6589927;6590140;6590446;6590911	6589858;6590084;6590375;6590848;6591715	-;-;-;-;-	3337	1
NCU00954	CM002236.1;CM002236.1;CM002236.1	6591961;6592702;6593754	6592626;6593651;6594233	-;-;-	2096	0
NCU00953	CM002236.1;CM002236.1	6594170;6595702	6595600;6596237	+;+	1967	24
NCU00952	CM002236.1;CM002236.1	6596704;6597344	6597178;6598025	-;-	1157	2
NCU00951	CM002236.1;CM002236.1;CM002236.1	6598064;6598633;6599210	6598572;6599096;6600359	+;+;+	2123	25
NCU00950	CM002236.1;CM002236.1	6600966;6601797	6601728;6603322	-;-	2289	2
NCU00949	CM002236.1;CM002236.1;CM002236.1	6604283;6609624;6610849	6609572;6610775;6613928	+;+;+	9522	4
NCU00948	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6616034;6616301;6616654;6617038	6616131;6616337;6616792;6617177	+;+;+;+	414	24
NCU00947	CM002236.1;CM002236.1	6618015;6618350	6618164;6618779	-;-	580	0
NCU00946	CM002236.1;CM002236.1;CM002236.1	6618988;6619131;6619967	6619028;6619705;6620286	-;-;-	936	0
col-20	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6624343;6624829;6625019;6625325;6625874	6624736;6624944;6625263;6625820;6627731	-;-;-;-;-	3109	124
thr-5	CM002236.1;CM002236.1;CM002236.1	6628756;6629345;6629677	6629287;6629603;6630835	-;-;-	1950	14
tre-1	CM002236.1;CM002236.1;CM002236.1	6632519;6632836;6633565	6632773;6633495;6635173	-;-;-	2524	10
ngf-1	CM002236.1;CM002236.1	6635096;6637947	6637824;6638111	+;+	2894	0
NCU16421	CM002236.1	6635191	6636648	-	1458	1378
NCU16422	CM002236.1;CM002236.1;CM002236.1	6638317;6638685;6638849	6638615;6638739;6639323	-;-;-	829	4
NCU16423	CM002236.1	6639115	6640387	-	1273	10
NCU00941	CM002236.1;CM002236.1	6640572;6645213	6645124;6645867	+;+	5208	4
NCU00940	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6644581;6645007;6645369;6645982;6646563	6644606;6645094;6645477;6646193;6646691	-;-;-;-;-	564	72
NCU14029	CM002236.1;CM002236.1	6647341;6647800	6647716;6650328	+;+	2905	389
dcc-1	CM002236.1;CM002236.1	6650854;6651799	6651651;6657821	+;+	6821	4
NCU00938	CM002236.1;CM002236.1;CM002236.1	6663012;6664180;6664555	6664111;6664476;6665608	-;-;-	2451	18
NCU00937	CM002236.1;CM002236.1;CM002236.1;CM002236.1	6665356;6666539;6666904;6667602	6666403;6666827;6667534;6667899	+;+;+;+	2266	1314
NCU00936	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6669606;6669606;6669606;6669835;6669873;6670036;6670036;6670036;6670228;6670228;6670228	6669805;6669760;6669966;6669966;6669966;6670126;6670126;6670126;6671824;6671824;6671824	-;-;-;-;-;-;-;-;-;-;-	2049	349
NCU00935	CM002236.1;CM002236.1;CM002236.1	6671629;6673422;6673685	6673356;6673617;6674526	+;+;+	2766	329
NCU00934	CM002236.1;CM002236.1	6676692;6676866	6676791;6677292	+;+	527	2
NCU14030	CM002236.1;CM002236.1	6678410;6678917	6678840;6679543	-;-	1058	0
NCU00932	CM002236.1;CM002236.1	6682289;6682598	6682537;6684487	-;-	2139	0
NCU00931	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6685222;6685225;6686820;6686820;6687487	6686715;6686715;6687510;6687251;6687600	+;+;+;+;+	2275	4
tim10	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	6687876;6687961;6688037;6688482;6688482	6687983;6688228;6688228;6689172;6689032	-;-;-;-;-	1044	4
NCU00929	CM002236.1	6689123	6694304	+	5182	2
NCU00928	CM002236.1	6695159	6697715	+	2557	10
NCU00927	CM002236.1;CM002236.1;CM002236.1	6697989;6698999;6701213	6698948;6701155;6702605	-;-;-	4510	0
