# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "6" "-a" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/readcounts_3.txt" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam
NCU02902	CM002236.1;CM002236.1;CM002236.1	8744183;8745731;8745967	8745205;8745824;8746037	-;-;-	1188	9	6	5	0	6	4	1	4	4	8	2	4	5	0	2	3	4	4	4	6	0	6	5	6	14	8	0	2
NCU02901	CM002236.1;CM002236.1	8747118;8747800	8747633;8748651	-;-	1368	2091	1805	1877	1546	1340	1525	897	1185	1105	909	972	1264	797	735	632	1622	1552	1321	801	891	679	2469	3262	3305	2525	627	658	777
NCU02900	CM002236.1;CM002236.1	8749561;8749852	8749730;8750005	-;-	324	2	8	2	26	9	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NCU02899	CM002236.1;CM002236.1	8752059;8753695	8753600;8754384	-;-	2232	6939	6742	6923	5815	5027	5308	4948	6041	6201	7017	7173	9054	2880	2321	2036	6028	6148	4596	3170	4031	2850	10496	12611	12622	10610	2208	2078	2805
NCU02898	CM002236.1;CM002236.1	8756792;8760531	8760471;8761672	+;+	4822	752	537	580	596	640	465	357	463	340	390	258	409	221	172	121	533	573	482	186	258	260	1207	1478	1360	1067	171	131	271
NCU02897	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8763621;8765288;8765738;8766316;8767570	8765182;8765497;8766234;8767487;8767624	-;-;-;-;-	3496	384	244	365	287	291	304	232	279	299	297	269	367	150	118	80	375	405	337	262	270	229	569	592	605	460	81	97	83
NCU15063	CM002236.1	8769048	8769148	+	101	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
NCU02896	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8770144;8772334;8772750;8773390	8772280;8772696;8773298;8774249	-;-;-;-	3909	4020	3936	3661	3314	2918	2857	2960	3931	3315	2522	2832	3647	1157	820	781	2857	2790	2038	801	1078	988	5227	6237	6134	5042	1048	801	910
NCU02895	CM002236.1;CM002236.1;CM002236.1	8775604;8776281;8776632	8776210;8776486;8776989	-;-;-	1171	2478	2909	1917	1525	1347	1787	853	1375	1148	3728	3858	5453	817	710	919	710	581	489	451	575	319	1543	1929	1936	1623	1287	783	957
NCU15064	CM002236.1	8777834	8777906	+	73	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02894	CM002236.1	8779813	8781974	-	2162	2472	2019	2353	2392	2213	2174	1649	2094	2053	1323	1518	1864	774	549	461	1960	2315	1323	1193	1501	952	5380	6540	6562	5549	513	525	609
NCU14046	CM002236.1;CM002236.1	8782232;8782669	8782601;8783361	+;+	1063	1145	1241	1161	1091	1052	1129	1051	1343	1338	991	899	1198	512	354	375	1050	1414	905	611	735	491	1469	1695	1621	1461	361	389	445
NCU02890	CM002236.1;CM002236.1	8790820;8791165	8791114;8791556	+;+	687	1253	771	1113	1571	1463	1330	998	1178	921	896	1162	1369	389	212	168	1710	1822	1424	728	717	1001	1236	1530	1471	1228	237	219	90
NCU16477	CM002236.1	8792030	8793290	+	1261	2129	1421	2075	2665	2779	2556	2070	2418	2206	1843	1990	2526	1417	1152	768	3086	3337	2406	1610	1952	1730	2763	3353	3394	2666	1074	958	1559
NCU02889	CM002236.1;CM002236.1	8794658;8795906	8795771;8796468	+;+	1677	36	70	60	49	50	56	37	67	60	12	18	26	10	21	16	27	31	14	14	23	15	32	22	31	15	9	15	26
NCU02888	CM002236.1;CM002236.1	8797615;8798129	8798014;8799259	+;+	1531	3768	4246	3573	4610	4118	4140	3354	3908	3945	1693	1830	2613	1642	1800	1589	4255	4863	3465	2680	3169	2318	6721	7801	7741	6086	1379	1397	2779
NCU02887	CM002236.1;CM002236.1	8799196;8800268	8800200;8800918	-;-	1656	8346	5310	8738	8941	7811	6593	9811	11559	12347	1609	1813	2529	3212	1973	1948	13120	14012	10246	6473	7461	5258	25417	32160	31654	24943	2659	2273	3694
NCU02886	CM002236.1	8803610	8805487	-	1878	10881	9897	10836	9663	8870	8862	5860	7219	7116	7116	6877	9148	4752	3620	3664	9013	10196	7415	5154	5844	4507	17215	21098	20741	17076	3592	3129	3657
NCU02885	CM002236.1;CM002236.1	8805901;8809820	8809757;8811073	+;+	5111	5532	4190	4438	3613	3645	3908	1919	2261	2027	2673	2788	3197	1485	776	790	4013	4361	3086	2406	2174	2042	8714	10737	10831	8772	880	850	503
NCU02884	CM002236.1;CM002236.1;CM002236.1	8809652;8810216;8810603	8810129;8810514;8811072	-;-;-	1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU15065	CM002236.1	8812856	8812926	+	71	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
NCU15066	CM002236.1	8813138	8813211	+	74	0	2	0	1	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	5	0	0	0	0	0	2	0	2
NCU02883	CM002236.1;CM002236.1;CM002236.1	8813494;8815235;8815471	8815112;8815248;8815549	-;-;-	1712	1624	958	1457	764	712	728	2485	2258	2016	1453	1525	1987	1136	473	508	2733	3425	2233	1696	1545	1299	4553	5245	5475	4619	341	422	722
NCU02882	CM002236.1	8816542	8818051	-	1510	1588	1072	1490	1140	947	750	1893	2481	2203	208	265	354	678	643	554	1537	1452	1345	598	802	814	1318	1720	1813	1421	734	640	594
NCU15067	CM002236.1	8819997	8820068	+	72	19	8	8	5	11	5	4	7	6	8	10	21	14	12	14	6	17	2	3	8	3	7	16	19	15	17	17	24
NCU02880	CM002236.1;CM002236.1	8823648;8824326	8824265;8824866	-;-	1159	54	80	46	54	86	58	33	49	46	9	23	28	24	24	30	59	40	37	37	23	32	47	52	54	39	10	25	21
NCU02879	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8826363;8826613;8826774;8827480	8826553;8826717;8827420;8828154	+;+;+;+	1618	73	67	86	114	134	135	162	119	201	63	124	150	33	31	23	142	186	174	84	155	63	221	220	205	254	11	15	25
NCU15068	CM002236.1	8828965	8829063	-	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NCU02878	CM002236.1;CM002236.1;CM002236.1	8829211;8829747;8831046	8829266;8830897;8831155	-;-;-	1317	47	37	29	30	30	50	10	24	30	17	14	14	4	6	2	10	14	11	6	16	19	31	43	54	20	2	12	7
NCU02877	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8833361;8834291;8835536;8835670;8836255	8834221;8835463;8835598;8836100;8836416	+;+;+;+;+	2690	1232	1290	1272	772	794	977	331	446	361	892	923	1343	512	276	333	939	1023	811	416	373	361	2481	2881	3419	2460	241	278	455
NCU02876	CM002236.1;CM002236.1	8839688;8840138	8840080;8840275	-;-	531	52	59	26	11	8	16	0	0	6	10	24	18	37	19	18	12	9	8	0	6	4	83	112	108	47	4	10	13
NCU02875	CM002236.1;CM002236.1;CM002236.1	8841501;8842668;8843376	8842608;8843309;8844907	-;-;-	3282	1921	2468	1756	1074	915	1046	401	543	487	1578	1937	2207	481	275	340	938	1305	791	343	391	357	3065	3316	3319	2999	329	330	417
NCU02873	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8848772;8849393;8849960;8850641	8849299;8849903;8850587;8851409	-;-;-;-	2436	52	60	34	32	9	28	3	10	10	17	25	35	14	12	6	9	11	1	0	2	2	11	19	17	17	0	2	9
NCU02872	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8853835;8854434;8854986;8855898	8854229;8854924;8855835;8856018	-;-;-;-	1857	24	21	27	31	22	23	20	13	9	10	11	7	18	3	14	7	11	8	0	7	6	0	3	6	10	0	3	10
NCU02870	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8857267;8858101;8858638;8858934	8857962;8858572;8858870;8859074	-;-;-;-	1542	0	2	6	0	2	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02869	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8860254;8860721;8861266;8861960	8860597;8861190;8861906;8862109	-;-;-;-	1605	3	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02868	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8863096;8863954;8864837;8865514	8863803;8864782;8865453;8865693	-;-;-;-	2334	22	24	8	39	51	55	2	5	4	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2
NCU02867	CM002236.1;CM002236.1;CM002236.1	8866490;8867081;8867486	8866604;8867422;8867649	-;-;-	621	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02866	CM002236.1;CM002236.1	8868382;8869079	8869017;8869135	-;-	693	0	4	0	2	12	3	77	87	75	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02865	CM002236.1;CM002236.1	8870094;8870782	8870712;8871308	-;-	1146	25	82	19	16	12	23	3	10	19	6	14	13	0	0	0	0	0	4	0	1	2	0	0	0	2	0	2	0
NCU02864	CM002236.1	8872013	8872813	-	801	91	198	93	24	36	24	64	74	89	4	16	11	0	0	0	0	0	0	6	0	0	0	1	0	0	11	2	6
NCU16482	CM002236.1;CM002236.1;CM002236.1	8874065;8874811;8875066	8874711;8874992;8875337	-;-;-	1101	79	106	47	47	52	62	441	402	434	0	3	0	0	2	0	13	15	24	4	12	7	6	0	4	0	4	2	0
NCU16483	CM002236.1;CM002236.1;CM002236.1	8876110;8876502;8876744	8876447;8876683;8877138	-;-;-	915	113	136	46	57	103	85	132	121	116	0	0	3	0	2	2	4	0	7	0	0	0	5	2	4	4	0	0	4
NCU02862	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8878001;8878567;8878758;8878983	8878496;8878700;8878853;8879030	-;-;-;-	774	2	13	4	4	2	9	13	5	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NCU02861	CM002236.1;CM002236.1;CM002236.1	8879824;8880300;8880726	8880220;8880663;8880741	-;-;-	777	0	3	0	2	5	0	10	16	10	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
NCU02860	CM002236.1;CM002236.1	8881736;8882268	8882201;8882350	-;-	549	3	9	0	7	0	3	7	6	2	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	5
NCU15069	CM002236.1	8884201	8884347	-	147	2	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1
NCU02858	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8885162;8886057;8886488;8892086;8892229;8892413;8893328	8886000;8886435;8892024;8892171;8892355;8893232;8893624	-;-;-;-;-;-;-	8085	1644	1745	1131	1444	1441	1388	891	1304	977	341	373	481	238	122	134	937	1042	852	391	379	378	724	942	919	800	271	211	341
NCU02857	CM002236.1;CM002236.1;CM002236.1	8895890;8896916;8897586	8896837;8897513;8897968	-;-;-	1929	70	125	66	133	102	147	72	141	136	7	30	18	4	6	16	26	17	23	24	9	6	33	23	34	23	22	28	62
NCU15070	CM002236.1	8898841	8898937	+	97	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02856	CM002236.1;CM002236.1	8899463;8899765	8899639;8900724	-;-	1137	171	69	56	193	217	161	92	84	65	11	13	22	22	7	10	216	207	207	149	160	117	214	249	243	185	35	17	31
NCU02855	CM002236.1	8902056	8903806	-	1751	190	110	158	137	108	134	77	123	58	103	84	141	72	93	54	119	98	91	95	51	62	156	179	160	150	34	40	70
NCU15607	CM002236.1	8904678	8904793	+	116	4	1	1	1	3	1	3	0	0	2	3	0	5	7	1	2	3	0	3	0	4	2	1	1	3	0	0	0
NCU02854	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8905083;8905697;8905942;8906252	8905329;8905822;8906177;8906549	-;-;-;-	907	99	59	70	54	58	65	25	49	32	72	65	110	52	27	22	85	124	113	50	74	56	300	436	414	253	29	38	62
NCU02853	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8911432;8913990;8914330;8914499;8914897	8913932;8914264;8914436;8914794;8915508	+;+;+;+;+	3791	2224	1610	2050	1940	1679	1790	1081	1395	1317	1245	1101	1643	831	483	517	2221	2658	1822	777	952	735	6034	7013	7261	5812	524	611	814
NCU02852	CM002236.1;CM002236.1	8916192;8916396	8916326;8917910	+;+	1650	236	147	194	194	179	185	220	271	253	129	129	145	112	64	87	178	237	113	92	119	84	478	537	513	396	61	87	122
NCU02850	CM002236.1;CM002236.1;CM002236.1	8920876;8921305;8922285	8921074;8922188;8922428	+;+;+	1227	282	231	293	237	260	317	339	334	415	102	89	153	163	95	104	462	594	294	189	206	163	430	525	547	503	105	99	131
NCU02849	CM002236.1	8923097	8924671	+	1575	430	244	253	334	377	246	628	814	924	80	78	91	159	50	49	483	766	369	162	124	107	403	523	582	390	106	97	201
NCU02847	CM002236.1;CM002236.1	8925738;8926238	8926132;8926904	+;+	1062	294	330	244	273	207	217	193	259	216	95	114	171	79	86	50	156	183	137	72	76	87	383	476	392	370	47	34	45
NCU02846	CM002236.1;CM002236.1	8927389;8927836	8927778;8929868	+;+	2423	1605	1397	1491	1337	1236	1400	1509	1842	1744	839	917	1432	530	414	416	1330	1635	1083	579	643	548	2711	3836	3967	2811	484	396	516
NCU10529	CM002236.1;CM002236.1	8929937;8932830	8932748;8933418	-;-	3401	2348	1637	1755	1622	1356	1318	1535	1906	1532	854	883	1051	769	508	422	1772	1915	1363	562	716	785	3296	3958	4013	3208	418	477	632
NCU02843	CM002236.1;CM002236.1;CM002236.1	8935176;8935401;8936111	8935189;8935602;8936901	-;-;-	1007	104	54	77	86	55	55	55	69	62	39	36	96	42	40	30	143	126	107	80	68	70	192	159	166	143	29	27	50
NCU02842	CM002236.1;CM002236.1	8939206;8941579	8941500;8943113	-;-	3830	2722	2693	2358	1998	1842	1945	2277	2840	2529	1318	1195	1614	1146	778	671	1570	1554	1165	853	1011	873	4462	5094	5432	4230	591	588	683
NCU15071	CM002236.1	8944284	8944440	+	157	1	2	5	0	4	3	0	0	2	4	8	0	0	0	1	7	0	0	1	11	0	5	11	10	2	0	0	1
NCU02840	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8944802;8946247;8946433;8946589	8946169;8946361;8946524;8947158	-;-;-;-	2145	9892	9233	9634	9008	8287	8197	7639	9935	9969	5689	6347	8606	3350	2997	2928	8841	9342	6797	3840	4965	3870	20518	25480	25825	20618	2433	2477	2855
NCU02839	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8947024;8947512;8947638;8948400	8947398;8947563;8948293;8949522	+;+;+;+	2206	9826	10231	9334	9152	8058	8175	9038	11394	11569	4296	3630	5215	2743	2478	2527	8140	8069	6393	3301	4686	3672	10925	13142	12440	11085	2899	2657	2726
NCU02838	CM002236.1;CM002236.1	8950193;8952154	8952084;8952483	-;-	2222	1527	1111	1443	1024	893	850	964	1235	1102	452	466	768	480	325	319	1070	1185	741	392	415	350	2472	3124	3051	2528	314	381	590
NCU02837	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8954276;8954749;8954842;8954960;8955152	8954506;8954772;8954898;8955087;8956324	+;+;+;+;+	1613	12116	10012	11006	9665	8812	8800	9398	11581	11077	4983	5165	6997	3507	2763	3080	11098	12084	8625	4398	5595	4320	19758	23333	23417	19757	2791	2839	3236
NCU02834	CM002236.1;CM002236.1	8957016;8958646	8958504;8959950	+;+	2794	2406	2031	2118	1921	1768	1928	1805	2452	2179	1194	1538	1930	772	618	596	1865	2058	1459	843	924	761	4200	5562	5650	4258	546	612	577
NCU02833	CM002236.1;CM002236.1;CM002236.1	8960384;8961907;8962547	8961841;8962488;8965791	-;-;-	5285	3967	2909	3471	2968	2818	2826	2248	2904	2346	2535	2463	2962	990	725	560	3323	3485	2610	1456	1523	1607	5717	6916	6849	5902	689	554	604
NCU02830	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	8967632;8969012;8969215;8969658;8969825;8971265	8968658;8969145;8969601;8969727;8971208;8973615	+;+;+;+;+;+	5353	5631	4891	4900	5082	4556	4438	4059	5170	4564	4025	3848	5329	1656	1308	1004	5253	5508	4162	2215	2450	2337	9469	12173	11965	9399	1048	1024	1337
NCU02829	CM002236.1;CM002236.1;CM002236.1	8974340;8974827;8975511	8974651;8975284;8976019	+;+;+	1279	8568	7555	7837	7803	6821	7318	8674	10064	10011	3784	3965	5217	2892	2686	3117	7420	7682	6062	3581	4838	3590	17470	21755	22485	17222	2016	2571	4014
NCU02828	CM002236.1;CM002236.1;CM002236.1;CM002236.1	8976446;8976990;8978706;8979431	8976793;8978651;8979327;8979513	-;-;-;-	2715	2906	2430	2682	2465	2165	2249	2650	3275	3010	1099	1030	1432	775	540	508	2479	2589	2012	1127	1254	1120	4506	5379	5451	4528	520	580	670
NCU02826	CM002236.1;CM002236.1	8980601;8984335	8984179;8984857	+;+	4102	1827	2258	1732	1817	1623	1702	1916	2563	2363	1626	1399	1930	669	589	521	1350	1283	1023	527	767	629	2180	2759	2594	2226	645	548	793
NCU16488	CM002236.1	8985309	8986258	-	950	16	31	18	40	43	26	52	118	79	3	4	4	11	11	1	2	3	2	5	3	4	10	3	7	9	2	5	10
NCU02819	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	9005537;9005537;9006535;9007005;9007017;9007465;9007465;9007465;9008172;9008172;9008172;9008282;9008282;9008282;9008595;9008595;9008595;9008888;9008888;9008888;9009779;9009779;9009779	9006015;9006015;9007238;9007238;9007238;9008102;9008102;9008102;9008205;9008205;9008205;9008525;9008525;9008525;9008828;9008828;9008828;9009718;9009718;9009718;9010326;9010326;9010326	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3712	3711	3297	3449	2644	2058	2084	1838	2229	2198	854	1045	1131	1140	698	769	3004	3458	2207	503	780	700	7043	8456	8243	6765	647	831	771
NCU14047	CM002236.1;CM002236.1;CM002236.1	9005820;9007017;9007465	9006015;9007238;9007814	+;+;+	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU02818	CM002236.1	9014187	9014967	+	781	78	77	83	46	30	51	75	74	52	36	52	81	24	5	8	63	71	49	22	17	27	85	113	107	68	22	28	8
NCU02817	CM002236.1	9015411	9016240	-	830	77	75	94	58	72	52	55	83	103	68	55	95	34	40	23	85	73	67	55	65	48	131	150	194	114	20	10	66
NCU02815	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	9024259;9025640;9026796;9027712;9028040;9029590	9025537;9026729;9027655;9027978;9029536;9030833	+;+;+;+;+;+	6237	21421	17396	19343	16112	14503	14230	10516	13188	11339	8972	9236	12180	6051	4880	4229	16704	17155	13626	6108	6924	6780	27196	33349	32825	27603	4560	3996	5205
NCU02814	CM002236.1;CM002236.1;CM002236.1;CM002236.1	9031103;9032322;9033339;9034060	9032264;9033284;9033915;9034316	-;-;-;-	2959	4977	6014	4951	3792	3329	4021	4490	5708	4915	4914	5314	7077	1784	1340	1262	3345	4084	2574	946	1194	1245	9259	11531	11200	9095	1378	1442	1439
NCU02813	CM002236.1;CM002236.1	9035683;9036753	9036680;9037970	+;+	2216	12590	12567	12602	10439	9196	9748	9652	11921	11156	6288	5619	7981	4192	3750	3143	8439	8158	6552	3449	5138	4085	13468	15556	15439	13377	4678	3786	4439
NCU02812	CM002236.1;CM002236.1;CM002236.1	9037899;9039546;9040317	9039020;9040054;9040495	-;-;-	1810	6754	5886	6186	5586	5385	5488	4774	6001	5799	3570	3506	5376	2461	2264	2025	5355	5773	4253	2568	3554	2776	9290	12185	11836	9313	2147	2147	2681
NCU02811	CM002236.1;CM002236.1;CM002236.1;CM002236.1	9041203;9042528;9043051;9043892	9042442;9042995;9043836;9044883	-;-;-;-	3486	12832	8166	11839	9872	8565	9455	6456	8317	8259	14053	14341	19575	7668	4718	5654	11233	12580	8044	3753	4517	3516	18061	20744	20472	17669	4459	4165	6981
NCU02810	CM002236.1;CM002236.1;CM002236.1	9047665;9048662;9049722	9048596;9049648;9050212	+;+;+	2410	12974	11733	12008	11509	10283	10384	10538	13828	13612	5534	5073	6982	3840	3137	2939	9058	8424	6658	4247	4616	4320	16393	19003	19019	15720	3966	3338	4223
NCU02809	CM002236.1;CM002236.1;CM002236.1;CM002236.1	9050519;9051632;9052592;9053084	9051573;9052440;9052993;9053570	-;-;-;-	2753	7333	5780	6865	7026	6569	6465	7659	9118	8787	3746	3865	5313	4020	2317	2476	9019	10028	6952	3466	4257	3079	15363	18479	18758	14957	2689	2961	3868
NCU02808	CM002236.1;CM002236.1	9053997;9056564	9056454;9057111	+;+	3006	4899	4409	4465	4388	3754	3657	6382	7986	7963	1618	1516	2090	1591	1518	1202	3645	4103	2570	2012	2360	1868	7755	9419	9438	7799	1381	1239	1800
NCU02807	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	9057702;9057768;9058328;9058328;9058557;9058557;9058866	9058134;9058134;9058459;9058459;9058894;9058702;9059057	-;-;-;-;-;-;-	1066	31241	34522	30888	31192	28877	29482	35889	41952	41997	22989	24607	34371	10555	7050	9621	27066	28479	23775	17273	20084	15430	52706	62727	62453	52174	8554	8644	9946
NCU02806	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	9061096;9062104;9062247;9062610;9062985	9061508;9062184;9062553;9062922;9063589	+;+;+;+;+	1719	75915	78385	74181	65962	59382	62192	57461	69392	67766	44765	53172	79299	31266	25851	21362	52767	55176	41247	31091	39791	29301	117770	149454	149081	118360	21045	21487	31988
NCU02805	CM002236.1	9063609	9064884	-	1276	330	240	257	254	226	251	233	326	319	57	99	94	140	104	66	242	254	187	95	122	111	403	479	521	367	95	96	101
NCU02804	CM002236.1;CM002236.1;CM002236.1	9064977;9065247;9065396	9065185;9065307;9065982	-;-;-	857	2282	2405	2336	1657	1640	1607	2775	3675	3418	1255	1160	1613	902	988	977	1424	1441	1152	843	1306	847	2431	2504	2543	2195	774	901	1135
NCU02803	CM002236.1	9066164	9068628	+	2465	2406	2216	2181	1679	1478	1380	1896	2524	2457	1218	1383	1796	533	464	485	1528	1887	1256	690	669	697	3479	4132	4172	3434	443	459	393
