PeakID (cmd=annotatePeaks.pl 129-33_ChIP_WT_K27me3_AM_Rep_2_peaks.txt /home/evt82290/Research/GCA_000182925.2_NC12_genomic.fna)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
CM002241.1-3357	CM002241.1	3735821	3736129	+	267.1	308.000	NA	NA	NA	NA								
CM002239.1-6468	CM002239.1	5890659	5890957	+	260.4	298.000	NA	NA	NA	NA								
CM002238.1-9185	CM002238.1	4723336	4723730	+	259.1	394.000	NA	NA	NA	NA								
CM002240.1-4410	CM002240.1	6210782	6211158	+	256.4	376.000	NA	NA	NA	NA								
CM002237.1-4509	CM002237.1	76340	76757	+	251.1	417.000	NA	NA	NA	NA								
CM002237.1-3759	CM002237.1	582062	582455	+	245.8	393.000	NA	NA	NA	NA								
CM002238.1-8557	CM002238.1	4596857	4597135	+	240.4	278.000	NA	NA	NA	NA								
KI440766.1-205	KI440766.1	24039	24306	+	232.4	267.000	NA	NA	NA	NA								
CM002239.1-6772	CM002239.1	5978529	5978798	+	229.7	269.000	NA	NA	NA	NA								
CM002241.1-11435	CM002241.1	4065656	4066094	+	228.4	438.000	NA	NA	NA	NA								
CM002236.1-2128	CM002236.1	9776665	9776891	+	225.7	226.000	NA	NA	NA	NA								
CM002239.1-8288	CM002239.1	5965448	5965744	+	219.0	296.000	NA	NA	NA	NA								
CM002239.1-8199	CM002239.1	173542	173906	+	217.7	364.000	NA	NA	NA	NA								
KI440766.1-170	KI440766.1	10935	11155	+	208.4	220.000	NA	NA	NA	NA								
CM002241.1-7471	CM002241.1	4174262	4174543	+	208.4	281.000	NA	NA	NA	NA								
CM002239.1-6664	CM002239.1	606922	607185	+	208.4	263.000	NA	NA	NA	NA								
CM002238.1-10903	CM002238.1	4094488	4094897	+	205.7	409.000	NA	NA	NA	NA								
CM002241.1-6580	CM002241.1	416061	416389	+	204.3	328.000	NA	NA	NA	NA								
CM002241.1-6202	CM002241.1	3648689	3648953	+	204.3	264.000	NA	NA	NA	NA								
CM002241.1-7203	CM002241.1	3877124	3877421	+	192.3	297.000	NA	NA	NA	NA								
CM002236.1-1296	CM002236.1	6455705	6455855	+	191.0	150.000	NA	NA	NA	NA								
CM002240.1-5248	CM002240.1	798162	798475	+	187.0	313.000	NA	NA	NA	NA								
CM002241.1-4620	CM002241.1	4149313	4149507	+	185.6	194.000	NA	NA	NA	NA								
CM002241.1-5952	CM002241.1	3878221	3878457	+	180.3	236.000	NA	NA	NA	NA								
CM002242.1-2168	CM002242.1	4240770	4240969	+	179.0	199.000	NA	NA	NA	NA								
CM002239.1-14202	CM002239.1	5206208	5206516	+	175.0	308.000	NA	NA	NA	NA								
CM002238.1-9132	CM002238.1	197126	197388	+	175.0	262.000	NA	NA	NA	NA								
KI440765.1-227	KI440765.1	87808	87999	+	172.3	191.000	NA	NA	NA	NA								
CM002236.1-2512	CM002236.1	255175	255408	+	171.0	233.000	NA	NA	NA	NA								
CM002241.1-5546	CM002241.1	50884	51110	+	171.0	226.000	NA	NA	NA	NA								
CM002242.1-4001	CM002242.1	372554	372827	+	169.6	273.000	NA	NA	NA	NA								
CM002241.1-6992	CM002241.1	47999	48241	+	169.6	242.000	NA	NA	NA	NA								
CM002240.1-4132	CM002240.1	6380430	6380670	+	167.0	240.000	NA	NA	NA	NA								
CM002236.1-3765	CM002236.1	58944	59217	+	167.0	273.000	NA	NA	NA	NA								
CM002241.1-4966	CM002241.1	4170228	4170455	+	165.6	227.000	NA	NA	NA	NA								
CM002241.1-3935	CM002241.1	4189291	4189441	+	157.6	150.000	NA	NA	NA	NA								
CM002239.1-7730	CM002239.1	5973168	5973392	+	157.6	224.000	NA	NA	NA	NA								
CM002238.1-9216	CM002238.1	160000	160228	+	157.6	228.000	NA	NA	NA	NA								
CM002239.1-9101	CM002239.1	5075878	5076110	+	156.3	232.000	NA	NA	NA	NA								
CM002236.1-2342	CM002236.1	9776116	9776266	+	156.3	150.000	NA	NA	NA	NA								
CM002239.1-7116	CM002239.1	5986138	5986340	+	154.9	202.000	NA	NA	NA	NA								
CM002241.1-6923	CM002241.1	1954195	1954447	+	153.6	252.000	NA	NA	NA	NA								
CM002242.1-3123	CM002242.1	930914	931108	+	152.3	194.000	NA	NA	NA	NA								
KI440766.1-386	KI440766.1	32915	33144	+	150.9	229.000	NA	NA	NA	NA								
CM002241.1-10911	CM002241.1	1955255	1955555	+	150.9	300.000	NA	NA	NA	NA								
KI440765.1-243	KI440765.1	82205	82355	+	149.6	150.000	NA	NA	NA	NA								
CM002242.1-4439	CM002242.1	1588048	1588317	+	148.3	269.000	NA	NA	NA	NA								
CM002241.1-4244	CM002241.1	4186437	4186587	+	146.9	150.000	NA	NA	NA	NA								
CM002242.1-2363	CM002242.1	244553	244743	+	144.2	190.000	NA	NA	NA	NA								
CM002237.1-1803	CM002237.1	418776	418968	+	142.9	192.000	NA	NA	NA	NA								
CM002236.1-3935	CM002236.1	484381	484620	+	141.6	239.000	NA	NA	NA	NA								
CM002241.1-5659	CM002241.1	350907	351094	+	141.6	187.000	NA	NA	NA	NA								
KI440766.1-204	KI440766.1	10206	10356	+	141.6	150.000	NA	NA	NA	NA								
CM002239.1-6181	CM002239.1	5847569	5847719	+	140.2	150.000	NA	NA	NA	NA								
CM002242.1-5480	CM002242.1	240411	240675	+	140.2	264.000	NA	NA	NA	NA								
CM002239.1-9639	CM002239.1	612145	612381	+	138.9	236.000	NA	NA	NA	NA								
CM002239.1-6263	CM002239.1	275275	275425	+	137.6	150.000	NA	NA	NA	NA								
CM002241.1-4392	CM002241.1	4211539	4211689	+	137.6	150.000	NA	NA	NA	NA								
CM002238.1-8676	CM002238.1	1338842	1339029	+	137.6	187.000	NA	NA	NA	NA								
CM002241.1-6964	CM002241.1	3841125	3841369	+	136.2	244.000	NA	NA	NA	NA								
CM002239.1-12662	CM002239.1	514710	514992	+	136.2	282.000	NA	NA	NA	NA								
CM002239.1-13863	CM002239.1	513930	514197	+	136.2	267.000	NA	NA	NA	NA								
CM002240.1-4351	CM002240.1	6160839	6161064	+	134.9	225.000	NA	NA	NA	NA								
CM002236.1-2487	CM002236.1	8891604	8891792	+	134.9	188.000	NA	NA	NA	NA								
CM002238.1-10791	CM002238.1	163446	163677	+	133.6	231.000	NA	NA	NA	NA								
CM002241.1-4647	CM002241.1	422942	423092	+	133.6	150.000	NA	NA	NA	NA								
CM002239.1-9227	CM002239.1	5043186	5043386	+	133.6	200.000	NA	NA	NA	NA								
KI440765.1-240	KI440765.1	76119	76269	+	130.9	150.000	NA	NA	NA	NA								
CM002236.1-4850	CM002236.1	62006	62241	+	130.9	235.000	NA	NA	NA	NA								
CM002236.1-3751	CM002236.1	9728791	9728998	+	129.6	207.000	NA	NA	NA	NA								
CM002239.1-9570	CM002239.1	5323520	5323707	+	129.6	187.000	NA	NA	NA	NA								
CM002242.1-3080	CM002242.1	1344646	1344841	+	126.9	195.000	NA	NA	NA	NA								
CM002237.1-2985	CM002237.1	140063	140266	+	126.9	203.000	NA	NA	NA	NA								
KI440765.1-353	KI440765.1	5475	5664	+	125.5	189.000	NA	NA	NA	NA								
KI440765.1-621	KI440765.1	81525	81731	+	125.5	206.000	NA	NA	NA	NA								
CM002239.1-7877	CM002239.1	5151904	5152092	+	125.5	188.000	NA	NA	NA	NA								
CM002236.1-4184	CM002236.1	5957965	5958156	+	125.5	191.000	NA	NA	NA	NA								
CM002241.1-6490	CM002241.1	1864844	1865034	+	125.5	190.000	NA	NA	NA	NA								
CM002240.1-3936	CM002240.1	675270	675420	+	125.5	150.000	NA	NA	NA	NA								
CM002239.1-7113	CM002239.1	5914636	5914786	+	125.5	150.000	NA	NA	NA	NA								
CM002239.1-9113	CM002239.1	5098324	5098514	+	125.5	190.000	NA	NA	NA	NA								
CM002238.1-8807	CM002238.1	4571936	4572126	+	124.2	190.000	NA	NA	NA	NA								
CM002241.1-4890	CM002241.1	3646855	3647005	+	122.9	150.000	NA	NA	NA	NA								
CM002241.1-7166	CM002241.1	1949932	1950129	+	121.5	197.000	NA	NA	NA	NA								
CM002238.1-8184	CM002238.1	346839	346989	+	121.5	150.000	NA	NA	NA	NA								
CM002239.1-7077	CM002239.1	536059	536209	+	121.5	150.000	NA	NA	NA	NA								
CM002239.1-7209	CM002239.1	463904	464054	+	120.2	150.000	NA	NA	NA	NA								
CM002239.1-8166	CM002239.1	5829515	5829702	+	120.2	187.000	NA	NA	NA	NA								
CM002236.1-2383	CM002236.1	22522	22672	+	120.2	150.000	NA	NA	NA	NA								
CM002241.1-5605	CM002241.1	3814408	3814558	+	118.9	150.000	NA	NA	NA	NA								
CM002237.1-1574	CM002237.1	4041341	4041491	+	117.5	150.000	NA	NA	NA	NA								
CM002239.1-8954	CM002239.1	4626860	4627051	+	117.5	191.000	NA	NA	NA	NA								
CM002241.1-6746	CM002241.1	3920388	3920581	+	116.2	193.000	NA	NA	NA	NA								
CM002241.1-7548	CM002241.1	1951147	1951339	+	116.2	192.000	NA	NA	NA	NA								
CM002242.1-6188	CM002242.1	3651255	3651470	+	116.2	215.000	NA	NA	NA	NA								
CM002238.1-8528	CM002238.1	135964	136114	+	113.5	150.000	NA	NA	NA	NA								
CM002242.1-4508	CM002242.1	3653948	3654139	+	113.5	191.000	NA	NA	NA	NA								
CM002242.1-3839	CM002242.1	1590580	1590785	+	113.5	205.000	NA	NA	NA	NA								
CM002242.1-2853	CM002242.1	4202600	4202750	+	112.2	150.000	NA	NA	NA	NA								
CM002240.1-4249	CM002240.1	6069570	6069720	+	112.2	150.000	NA	NA	NA	NA								
CM002236.1-4812	CM002236.1	9682070	9682260	+	112.2	190.000	NA	NA	NA	NA								
CM002239.1-12683	CM002239.1	789102	789341	+	112.2	239.000	NA	NA	NA	NA								
CM002239.1-12639	CM002239.1	274028	274218	+	110.9	190.000	NA	NA	NA	NA								
KI440768.1-5	KI440768.1	21079	21229	+	110.9	150.000	NA	NA	NA	NA								
CM002239.1-7963	CM002239.1	5855686	5855836	+	110.9	150.000	NA	NA	NA	NA								
CM002239.1-8033	CM002239.1	3759477	3759627	+	109.5	150.000	NA	NA	NA	NA								
CM002240.1-4289	CM002240.1	5944712	5944862	+	109.5	150.000	NA	NA	NA	NA								
CM002241.1-7375	CM002241.1	348463	348651	+	108.2	188.000	NA	NA	NA	NA								
CM002241.1-6287	CM002241.1	1087403	1087553	+	108.2	150.000	NA	NA	NA	NA								
KI440766.1-772	KI440766.1	48546	48740	+	108.2	194.000	NA	NA	NA	NA								
CM002239.1-8128	CM002239.1	801007	801157	+	108.2	150.000	NA	NA	NA	NA								
CM002236.1-5799	CM002236.1	6446264	6446453	+	108.2	189.000	NA	NA	NA	NA								
CM002238.1-8764	CM002238.1	4986555	4986705	+	106.8	150.000	NA	NA	NA	NA								
CM002238.1-9442	CM002238.1	4841524	4841674	+	106.8	150.000	NA	NA	NA	NA								
CM002239.1-8135	CM002239.1	2352013	2352163	+	106.8	150.000	NA	NA	NA	NA								
CM002238.1-9176	CM002238.1	4535385	4535535	+	106.8	150.000	NA	NA	NA	NA								
CM002238.1-8922	CM002238.1	575209	575359	+	106.8	150.000	NA	NA	NA	NA								
CM002241.1-9397	CM002241.1	217058	217255	+	105.5	197.000	NA	NA	NA	NA								
CM002236.1-2889	CM002236.1	331353	331503	+	105.5	150.000	NA	NA	NA	NA								
CM002241.1-7094	CM002241.1	4185460	4185650	+	105.5	190.000	NA	NA	NA	NA								
CM002241.1-7234	CM002241.1	218952	219139	+	105.5	187.000	NA	NA	NA	NA								
CM002242.1-3208	CM002242.1	4171671	4171821	+	104.2	150.000	NA	NA	NA	NA								
CM002242.1-6543	CM002242.1	157908	158141	+	104.2	233.000	NA	NA	NA	NA								
CM002237.1-1802	CM002237.1	149091	149241	+	104.2	150.000	NA	NA	NA	NA								
CM002240.1-4582	CM002240.1	618867	619017	+	104.2	150.000	NA	NA	NA	NA								
CM002242.1-3343	CM002242.1	241929	242079	+	102.8	150.000	NA	NA	NA	NA								
CM002240.1-4643	CM002240.1	619568	619718	+	102.8	150.000	NA	NA	NA	NA								
CM002237.1-2210	CM002237.1	1112754	1112904	+	101.5	150.000	NA	NA	NA	NA								
CM002241.1-6547	CM002241.1	4198647	4198797	+	101.5	150.000	NA	NA	NA	NA								
CM002241.1-6003	CM002241.1	3476377	3476527	+	101.5	150.000	NA	NA	NA	NA								
CM002239.1-8453	CM002239.1	860107	860257	+	101.5	150.000	NA	NA	NA	NA								
KI440766.1-865	KI440766.1	82953	83103	+	101.5	150.000	NA	NA	NA	NA								
CM002239.1-8618	CM002239.1	5834383	5834533	+	101.5	150.000	NA	NA	NA	NA								
CM002239.1-8691	CM002239.1	1883590	1883740	+	101.5	150.000	NA	NA	NA	NA								
CM002242.1-3224	CM002242.1	318838	318988	+	101.5	150.000	NA	NA	NA	NA								
CM002241.1-6903	CM002241.1	488571	488721	+	100.2	150.000	NA	NA	NA	NA								
CM002242.1-5041	CM002242.1	3673833	3674021	+	100.2	188.000	NA	NA	NA	NA								
CM002238.1-9357	CM002238.1	4834778	4834928	+	100.2	150.000	NA	NA	NA	NA								
CM002236.1-3388	CM002236.1	8890410	8890560	+	100.2	150.000	NA	NA	NA	NA								
CM002239.1-8530	CM002239.1	33211	33361	+	100.2	150.000	NA	NA	NA	NA								
CM002240.1-4912	CM002240.1	6017568	6017718	+	98.8	150.000	NA	NA	NA	NA								
CM002240.1-4901	CM002240.1	5681989	5682139	+	98.8	150.000	NA	NA	NA	NA								
CM002240.1-4696	CM002240.1	6243731	6243881	+	98.8	150.000	NA	NA	NA	NA								
CM002236.1-3432	CM002236.1	193674	193824	+	97.5	150.000	NA	NA	NA	NA								
CM002236.1-3447	CM002236.1	372583	372733	+	97.5	150.000	NA	NA	NA	NA								
CM002236.1-4810	CM002236.1	9681437	9681587	+	96.2	150.000	NA	NA	NA	NA								
CM002237.1-5588	CM002237.1	39550	39738	+	96.2	188.000	NA	NA	NA	NA								
CM002239.1-9838	CM002239.1	1881901	1882051	+	94.8	150.000	NA	NA	NA	NA								
CM002239.1-10564	CM002239.1	5904277	5904464	+	94.8	187.000	NA	NA	NA	NA								
CM002236.1-6157	CM002236.1	8868223	8868412	+	94.8	189.000	NA	NA	NA	NA								
CM002239.1-9232	CM002239.1	5090255	5090405	+	93.5	150.000	NA	NA	NA	NA								
CM002242.1-3697	CM002242.1	19890	20040	+	93.5	150.000	NA	NA	NA	NA								
CM002240.1-4714	CM002240.1	921705	921855	+	93.5	150.000	NA	NA	NA	NA								
CM002241.1-7601	CM002241.1	3868200	3868350	+	93.5	150.000	NA	NA	NA	NA								
CM002240.1-8575	CM002240.1	6383610	6383820	+	93.5	210.000	NA	NA	NA	NA								
CM002237.1-2875	CM002237.1	560903	561053	+	92.2	150.000	NA	NA	NA	NA								
CM002242.1-3895	CM002242.1	622980	623130	+	92.2	150.000	NA	NA	NA	NA								
CM002236.1-4585	CM002236.1	8889692	8889842	+	92.2	150.000	NA	NA	NA	NA								
CM002242.1-4075	CM002242.1	3662563	3662713	+	90.8	150.000	NA	NA	NA	NA								
CM002241.1-7223	CM002241.1	93012	93162	+	90.8	150.000	NA	NA	NA	NA								
CM002237.1-2594	CM002237.1	585289	585439	+	90.8	150.000	NA	NA	NA	NA								
CM002236.1-8300	CM002236.1	181438	181631	+	90.8	193.000	NA	NA	NA	NA								
CM002242.1-4209	CM002242.1	3665013	3665163	+	90.8	150.000	NA	NA	NA	NA								
CM002242.1-4309	CM002242.1	1593025	1593175	+	89.5	150.000	NA	NA	NA	NA								
CM002241.1-7765	CM002241.1	4020022	4020172	+	88.2	150.000	NA	NA	NA	NA								
CM002241.1-7783	CM002241.1	49144	49294	+	88.2	150.000	NA	NA	NA	NA								
CM002242.1-4155	CM002242.1	1591868	1592018	+	86.8	150.000	NA	NA	NA	NA								
CM002239.1-10185	CM002239.1	699858	700008	+	86.8	150.000	NA	NA	NA	NA								
CM002239.1-12205	CM002239.1	5099296	5099446	+	86.8	150.000	NA	NA	NA	NA								
CM002238.1-10431	CM002238.1	164759	164909	+	85.5	150.000	NA	NA	NA	NA								
CM002236.1-5428	CM002236.1	3624878	3625028	+	85.5	150.000	NA	NA	NA	NA								
CM002239.1-10768	CM002239.1	5090894	5091044	+	85.5	150.000	NA	NA	NA	NA								
CM002238.1-10881	CM002238.1	2208086	2208236	+	85.5	150.000	NA	NA	NA	NA								
CM002239.1-10377	CM002239.1	220009	220159	+	85.5	150.000	NA	NA	NA	NA								
CM002241.1-8518	CM002241.1	167532	167682	+	85.5	150.000	NA	NA	NA	NA								
CM002238.1-11029	CM002238.1	475181	475331	+	84.1	150.000	NA	NA	NA	NA								
CM002237.1-3725	CM002237.1	70043	70193	+	84.1	150.000	NA	NA	NA	NA								
CM002236.1-6191	CM002236.1	9706499	9706649	+	84.1	150.000	NA	NA	NA	NA								
CM002239.1-9953	CM002239.1	34205	34355	+	84.1	150.000	NA	NA	NA	NA								
CM002241.1-8508	CM002241.1	92159	92309	+	84.1	150.000	NA	NA	NA	NA								
CM002238.1-11232	CM002238.1	425121	425271	+	84.1	150.000	NA	NA	NA	NA								
CM002242.1-4713	CM002242.1	437533	437683	+	84.1	150.000	NA	NA	NA	NA								
CM002239.1-11117	CM002239.1	475563	475713	+	82.8	150.000	NA	NA	NA	NA								
CM002242.1-4852	CM002242.1	4221320	4221470	+	82.8	150.000	NA	NA	NA	NA								
CM002240.1-6354	CM002240.1	5678623	5678773	+	82.8	150.000	NA	NA	NA	NA								
CM002242.1-4731	CM002242.1	935356	935506	+	82.8	150.000	NA	NA	NA	NA								
CM002239.1-12278	CM002239.1	5954386	5954536	+	82.8	150.000	NA	NA	NA	NA								
CM002236.1-9382	CM002236.1	329261	329448	+	81.5	187.000	NA	NA	NA	NA								
CM002239.1-11360	CM002239.1	171040	171190	+	81.5	150.000	NA	NA	NA	NA								
CM002239.1-11370	CM002239.1	286126	286276	+	81.5	150.000	NA	NA	NA	NA								
CM002237.1-3749	CM002237.1	559930	560080	+	81.5	150.000	NA	NA	NA	NA								
CM002240.1-6032	CM002240.1	6146	6296	+	81.5	150.000	NA	NA	NA	NA								
CM002238.1-12077	CM002238.1	5076872	5077022	+	80.1	150.000	NA	NA	NA	NA								
CM002238.1-11795	CM002238.1	4688647	4688797	+	80.1	150.000	NA	NA	NA	NA								
CM002241.1-10049	CM002241.1	2819352	2819502	+	80.1	150.000	NA	NA	NA	NA								
CM002241.1-9586	CM002241.1	3846503	3846653	+	78.8	150.000	NA	NA	NA	NA								
CM002239.1-11987	CM002239.1	217131	217281	+	78.8	150.000	NA	NA	NA	NA								
CM002239.1-11720	CM002239.1	773160	773310	+	78.8	150.000	NA	NA	NA	NA								
CM002241.1-9635	CM002241.1	84255	84405	+	78.8	150.000	NA	NA	NA	NA								
CM002242.1-4905	CM002242.1	375072	375222	+	78.8	150.000	NA	NA	NA	NA								
CM002236.1-5902	CM002236.1	87329	87479	+	78.8	150.000	NA	NA	NA	NA								
CM002238.1-11425	CM002238.1	254098	254248	+	78.8	150.000	NA	NA	NA	NA								
CM002241.1-9584	CM002241.1	3844753	3844903	+	77.5	150.000	NA	NA	NA	NA								
CM002240.1-7211	CM002240.1	4790370	4790520	+	77.5	150.000	NA	NA	NA	NA								
CM002237.1-4499	CM002237.1	4436303	4436453	+	76.1	150.000	NA	NA	NA	NA								
CM002238.1-12169	CM002238.1	462375	462525	+	76.1	150.000	NA	NA	NA	NA								
CM002241.1-9636	CM002241.1	86511	86661	+	74.8	150.000	NA	NA	NA	NA								
CM002236.1-8311	CM002236.1	251154	251304	+	74.8	150.000	NA	NA	NA	NA								
CM002237.1-4502	CM002237.1	4461277	4461427	+	73.5	150.000	NA	NA	NA	NA								
CM002238.1-13258	CM002238.1	4871790	4871940	+	73.5	150.000	NA	NA	NA	NA								
CM002241.1-11434	CM002241.1	4055581	4055731	+	73.5	150.000	NA	NA	NA	NA								
CM002239.1-12483	CM002239.1	3593877	3594027	+	73.5	150.000	NA	NA	NA	NA								
CM002239.1-13716	CM002239.1	5075267	5075417	+	73.5	150.000	NA	NA	NA	NA								
CM002241.1-10758	CM002241.1	3922029	3922179	+	72.1	150.000	NA	NA	NA	NA								
CM002242.1-6580	CM002242.1	390691	390841	+	70.8	150.000	NA	NA	NA	NA								
CM002236.1-9300	CM002236.1	9733481	9733631	+	70.8	150.000	NA	NA	NA	NA								
CM002239.1-13771	CM002239.1	5832368	5832518	+	69.5	150.000	NA	NA	NA	NA								
CM002241.1-11135	CM002241.1	132272	132422	+	69.5	150.000	NA	NA	NA	NA								
CM002241.1-11062	CM002241.1	3843559	3843709	+	69.5	150.000	NA	NA	NA	NA								
CM002241.1-11381	CM002241.1	3502473	3502623	+	68.1	150.000	NA	NA	NA	NA								
CM002238.1-13971	CM002238.1	4971870	4972020	+	66.8	150.000	NA	NA	NA	NA								
