# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-t" "CDS" "-g" "gene_name" "-s" "0" "--primary" "-a" "/home/zlewis/Genomes/Neurospora/Nc12_RefSeq/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.gtf" "-o" "/scratch/evt82290/RNAseq/qa-suz12/counts/readcounts_newseq.txt" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam
NCU01700	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2685243;2685376;2685521;2685709;2686021	2685317;2685437;2685602;2685877;2686082	+;+;+;+;+	450	373	425	279	990	1206	1253	1021	136	100	155	88	36	173	43	258	31	8	7	247
NCU01699	CM002237.1;CM002237.1;CM002237.1	2688423;2689273;2689690	2689182;2689635;2689736	+;+;+	1170	101	96	80	229	282	274	241	135	48	100	84	56	130	22	129	10	0	6	96
NCU01698	CM002237.1;CM002237.1;CM002237.1	2690564;2690735;2690895	2690604;2690819;2690957	-;-;-	189	1413	2814	1291	6733	8556	8325	6803	1914	1233	2253	234	204	997	218	599	37	28	18	1272
NCU01697	CM002237.1	2693322	2694365	+	1044	248	143	287	445	583	526	474	586	228	908	788	85	427	61	425	24	6	8	809
NCU01696	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2695855;2696124;2696661;2698491	2696016;2696597;2698430;2698538	+;+;+;+	2454	957	1134	713	2706	3243	3129	2694	141	70	171	295	60	234	183	433	53	12	14	236
NCU01695	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2699484;2700053;2700278;2701426;2701742;2702064	2699999;2700221;2701334;2701528;2701987;2702192	-;-;-;-;-;-	2220	996	1315	709	3538	4538	4437	3606	169	71	225	422	209	455	241	757	193	42	16	291
cit-1	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2704804;2704981;2705131;2705413;2706467	2704911;2705045;2705324;2706403;2706518	+;+;+;+;+	1410	13757	14723	11789	39575	50484	49661	38726	4695	3725	4769	630	730	2556	518	1456	57	84	44	6206
NCU01689	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2709050;2709219;2709449;2709449;2710193;2710193	2709272;2709318;2710121;2710121;2710247;2710247	+;+;+;+;+;+	997	2563	2448	3087	8382	10679	10607	8457	339	197	293	88	16	107	92	266	30	10	11	253
NCU01688	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2710999;2711299;2711408;2711559;2711729	2711246;2711347;2711458;2711593;2711762	-;-;-;-;-	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NCU01686	CM002237.1	2719088	2719492	+	405	6	3	8	11	7	10	14	2	0	0	0	0	0	2	0	0	0	0	0
NCU01684	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2720795;2721123;2721353;2721744	2720909;2721293;2721690;2721929	-;-;-;-	810	0	9	2	20	21	28	23	8	0	6	41	8	21	6	43	6	0	2	12
NCU01681	CM002237.1	2725590	2725901	-	312	0	2	0	3	8	1	5	0	0	0	0	0	0	0	0	0	0	4	0
pma-1	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2726500;2726738;2727070;2727268;2729530	2726679;2726944;2727203;2729462;2729576	+;+;+;+;+	2763	54925	55973	41317	159045	190489	189447	157720	5361	3663	5335	3469	1609	4647	2443	7226	1979	858	464	10516
NCU01679	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2731055;2731055;2731233;2731233;2731571;2731704;2731704;2731704;2731819;2731819;2731819;2732132;2732135;2732135	2731085;2731085;2731643;2731643;2731643;2731758;2731758;2731758;2732048;2732048;2732048;2733279;2733279;2733279	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1875	299	231	153	658	889	839	785	81	56	127	104	53	177	30	155	30	12	10	143
NCU01678	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2733705;2733705;2733705;2734739;2734739;2734739;2735255;2735255;2735255;2736136;2736379	2734677;2734677;2734677;2735153;2735153;2735153;2735486;2735451;2735451;2736179;2736395	-;-;-;-;-;-;-;-;-;-;-	1681	1740	1432	1007	3832	4624	4552	3978	1249	490	1758	920	394	1362	383	1073	142	47	22	864
NCU01675	CM002237.1;CM002237.1	2738365;2742263	2742120;2742334	-;-	3828	1008	1067	660	2625	3144	3251	2594	218	132	262	70	8	62	46	132	30	14	18	428
NCU01674	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2742848;2743336;2743731;2743928	2743262;2743642;2743854;2743960	-;-;-;-	879	7684	9723	5262	22738	28034	27584	22572	4790	2613	7209	1320	496	2308	1278	3799	252	149	105	4305
NCU01673	CM002237.1	2744964	2745683	+	720	250	349	154	785	983	982	736	281	200	318	59	16	118	42	71	10	0	0	257
NCU01672	CM002237.1;CM002237.1	2746291;2747987	2747912;2748761	-;-	2397	59	25	40	91	101	121	63	65	17	84	24	20	52	8	38	12	8	8	31
NCU01670	CM002237.1;CM002237.1	2751287;2751599	2751482;2751963	+;+	561	622	750	402	1558	2090	2095	1716	3493	2411	4456	684	490	4303	833	2002	150	46	12	2676
prm-3	CM002237.1;CM002237.1	2752423;2753945	2753891;2754239	-;-	1764	990	1461	893	2961	3986	3795	3219	210	194	259	78	40	110	54	234	10	11	9	385
NCU01668	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2755098;2756072;2756092;2757191;2757191	2755951;2757048;2757048;2757995;2757995	-;-;-;-;-	2636	2773	2606	1993	6874	7961	8274	6642	2813	2078	4493	591	379	1994	310	908	197	138	80	2438
arg-12	CM002237.1;CM002237.1;CM002237.1	2759617;2760083;2760839	2759976;2760769;2760949	+;+;+	1158	2134	2484	2471	6328	7348	7556	6081	496	396	1551	825	249	312	127	1638	38	24	6	538
ilv-4	CM002237.1;CM002237.1	2761351;2761598	2761531;2762409	-;-	993	4557	5312	6282	11234	13416	13243	10919	1105	699	1809	764	236	651	303	2089	38	20	8	1091
NCU01665	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2763702;2763702;2763980;2763980;2764379;2764379;2764465;2764465;2764579;2764579;2764797;2764797;2765500;2765500;2765772;2765772	2763918;2763918;2764197;2764197;2764400;2764400;2764517;2764517;2764743;2764743;2765449;2765449;2765719;2765719;2765795;2765795	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1572	1551	1789	975	5460	6570	6537	5786	533	198	598	244	90	343	220	485	58	28	15	718
NCU01664	CM002237.1;CM002237.1	2766966;2767126	2767033;2768401	+;+	1344	1446	1421	953	3861	5339	5329	3939	624	250	684	556	144	574	410	1193	52	12	14	744
NCU01660	CM002237.1;CM002237.1	2771076;2771315	2771197;2771468	-;-	276	79	85	35	197	257	288	270	21	6	47	78	50	175	58	326	25	2	0	4
NCU01659	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2776281;2776281;2776281;2777182;2777182;2779580;2779580;2779580	2779494;2777103;2777103;2779494;2779494;2780046;2780046;2780046	+;+;+;+;+;+;+;+	3681	1672	1576	805	4491	5388	5275	4362	289	183	339	228	76	320	138	467	186	100	52	467
NCU10381	CM002237.1;CM002237.1;CM002237.1	2781062;2781221;2781791	2781136;2781715;2783722	-;-;-	2502	5324	3956	3238	10306	13376	13400	10520	2561	1655	2573	1172	958	5035	436	888	139	70	37	1430
NCU01658	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2784324;2784678;2784990;2785561;2788415;2788673	2784610;2784906;2785487;2788335;2788603;2788753	-;-;-;-;-;-	4059	4632	4225	2784	12500	15208	14942	12610	905	454	923	851	300	659	330	1298	222	126	66	1484
NCU01657	CM002237.1;CM002237.1;CM002237.1	2789584;2789736;2790295	2789636;2790189;2790735	-;-;-	948	1230	1296	1026	2665	3282	3404	2604	774	512	1027	470	168	662	214	711	46	26	14	955
dim-9	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2791337;2792099;2792898;2794626;2794864;2795522	2791750;2792387;2794546;2794757;2795200;2795532	-;-;-;-;-;-	2832	957	914	511	2615	3165	3076	2549	340	143	357	266	113	447	113	282	62	26	21	390
NCU01655	CM002237.1;CM002237.1;CM002237.1	2796604;2796874;2797037	2796815;2796966;2797553	-;-;-	822	1805	2254	1252	4802	5583	5895	4662	1747	668	2244	951	366	1929	649	2643	32	14	15	1825
NCU01654	CM002237.1;CM002237.1;CM002237.1	2798235;2798423;2800081	2798337;2800010;2800507	-;-;-	2118	3676	3772	2415	8942	10029	10228	8827	2383	1185	2570	268	227	883	216	894	110	136	46	2977
NCU01653	CM002237.1;CM002237.1	2803210;2803391	2803288;2803890	+;+	579	76	88	91	205	203	278	196	60	6	61	98	46	62	50	196	16	4	1	101
NCU01652	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2805477;2805586;2805707;2805851;2806281	2805514;2805640;2805789;2806211;2807108	+;+;+;+;+	1365	4073	2981	4362	7159	8557	8577	7140	3889	1785	4510	1420	1053	3308	1116	2462	152	18	22	4160
NCU01651	CM002237.1	2807650	2809998	-	2349	80	112	79	266	301	349	261	32	26	48	12	30	77	12	35	4	6	9	77
NCU01650	CM002237.1;CM002237.1;CM002237.1	2810604;2810835;2810999	2810642;2810941;2811458	+;+;+	606	741	836	675	2237	2685	2690	2178	351	254	451	98	40	172	76	198	16	14	6	555
NCU01649	CM002237.1;CM002237.1	2812659;2812838	2812759;2813600	+;+	864	146	191	188	372	556	449	440	89	60	109	61	12	40	17	57	2	8	14	191
NCU01648	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2815076;2815302;2815498;2816869;2816983	2815237;2815432;2816813;2816927;2817567	+;+;+;+;+	2253	7759	8750	6119	21289	25257	24662	20765	4845	2575	4719	1133	1054	4878	743	1734	348	105	57	3823
NCU01647	CM002237.1	2818292	2819188	-	897	1744	1740	1166	4200	5452	5409	4261	10065	7857	15119	1673	1027	5225	1488	5225	82	38	34	5653
NCU01646	CM002237.1;CM002237.1	2821373;2821485	2821385;2823754	+;+	2283	1415	1568	839	3626	4228	4121	3530	2361	1013	2783	707	342	1347	378	943	84	44	22	1495
NCU01645	CM002237.1;CM002237.1;CM002237.1	2825296;2825496;2826356	2825387;2826295;2826405	+;+;+	942	3901	5609	2865	11749	13895	13744	11891	13475	5395	15554	933	287	2443	779	1482	42	46	17	5487
NCU01644	CM002237.1;CM002237.1	2826814;2826988	2826903;2830413	-;-	3516	3435	3005	1781	8533	11292	10946	8424	643	315	636	412	130	581	342	996	110	72	14	854
NCU01643	CM002237.1;CM002237.1	2831764;2832151	2832073;2835059	+;+	3219	1662	1701	936	4542	5670	5918	4612	1162	462	1052	301	106	608	228	579	102	88	78	1390
NCU01642	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2837664;2837816;2839386;2839813;2840000;2842052;2846020	2837717;2839318;2839735;2839927;2841988;2845948;2846034	+;+;+;+;+;+;+	7923	4582	3183	2042	9273	10899	10593	9228	906	587	1231	561	350	1242	426	1496	869	408	218	1558
NCU16561	CM002237.1;CM002237.1	2858461;2858709	2858554;2859073	+;+	459	88	26	9	113	109	145	75	8	6	8	18	8	38	2	15	0	0	2	4
rpn-4	CM002237.1;CM002237.1	2859550;2860505	2860441;2861694	+;+	2082	3590	2285	1728	6664	8124	8489	6954	6828	5323	9636	951	754	7776	583	1607	330	237	246	2892
NCU01638	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2864768;2865003;2865141;2869921	2864931;2865076;2869826;2870102	-;-;-;-	5106	1799	1957	1263	4399	5697	5260	4269	200	88	198	44	10	77	57	229	47	72	40	749
NCU01637	CM002237.1	2871028	2872497	+	1470	542	832	503	1805	2257	2174	1749	198	76	229	123	39	160	39	227	22	24	14	415
NCU01636	CM002237.1;CM002237.1;CM002237.1	2872999;2873162;2873314	2873076;2873230;2873847	+;+;+	681	1117	1333	659	3300	4005	4050	3290	1685	934	2447	632	237	1026	293	1135	38	10	14	2725
hH3	CM002237.1;CM002237.1	2874854;2875119	2875051;2875331	-;-	411	33307	43011	23994	124763	147772	146738	125769	40083	21322	56614	11618	5586	29502	5995	19480	399	130	65	24632
hH4-1	CM002237.1;CM002237.1;CM002237.1	2877469;2877548;2877754	2877478;2877685;2877917	+;+;+	312	14813	14818	9808	48686	59963	60338	49055	7416	4461	8498	1037	484	2706	923	2321	148	109	66	6929
NCU16562	CM002237.1	2884941	2885450	-	510	2	0	4	4	5	3	2	53	11	38	6	4	18	2	12	2	4	0	34
NCU01633	CM002237.1;CM002237.1	2888377;2888595	2888522;2890047	+;+	1599	19226	16385	19163	40808	49411	49042	40323	28009	17833	50282	36045	45651	201908	9560	23604	1833	160	58	2650
aro-1	CM002237.1;CM002237.1	2892707;2897397	2897332;2897462	+;+	4692	4008	3197	3664	8998	10695	10530	8953	529	381	756	429	68	195	118	969	68	83	28	662
NCU10404	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2899017;2899324;2899757;2900084	2899221;2899394;2899896;2900105	-;-;-;-	438	27	61	11	94	82	120	73	20	2	28	28	3	36	39	51	6	0	6	50
NCU01631	CM002237.1;CM002237.1;CM002237.1	2922034;2922504;2922855	2922352;2922570;2923098	-;-;-	630	22	17	13	43	77	59	46	6	4	10	9	0	13	2	5	4	6	0	13
NCU01629	CM002237.1;CM002237.1	2924750;2925842	2925759;2926094	+;+	1263	99	214	76	471	581	406	477	78	46	119	22	11	55	8	28	32	8	5	177
NCU01625	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2934124;2934221;2934321;2934414;2934993	2934140;2934261;2934350;2934916;2936822	+;+;+;+;+	2421	828	910	598	2115	2490	2420	2011	86	48	113	155	52	92	97	252	36	17	3	206
NCU01623	CM002237.1	2937841	2940354	-	2514	246	264	173	1005	1227	1258	985	186	82	274	126	108	381	142	246	114	22	10	192
NCU01620	CM002237.1;CM002237.1	2943288;2943473	2943404;2943784	+;+	429	54	41	37	125	106	149	107	557	461	891	122	128	618	141	316	20	17	8	304
NCU16563	CM002237.1	2947767	2948114	+	348	46	45	31	170	257	256	165	57	23	128	40	9	55	24	58	81	71	36	74
NCU01615	CM002237.1;CM002237.1;CM002237.1	2949530;2949804;2950277	2949744;2950216;2952546	+;+;+	2898	657	750	567	1355	1626	1652	1368	157	84	212	182	110	256	114	357	49	16	14	368
NCU01614	CM002237.1;CM002237.1;CM002237.1	2953283;2953593;2953795	2953390;2953684;2953867	+;+;+	273	914	1098	634	2995	3882	3934	2930	434	229	417	185	57	250	240	763	58	12	8	562
pp-2	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2954817;2954817;2955106;2955106;2957268	2954999;2954999;2957184;2956740;2957402	-;-;-;-;-	2397	1032	1179	761	2568	3221	3139	2571	136	106	168	140	73	150	58	274	26	31	26	322
NCU01612	CM002237.1;CM002237.1	2958416;2960681	2960614;2960806	+;+	2325	584	735	430	1845	2314	2094	1973	128	54	115	12	6	54	26	103	18	26	16	307
NCU01611	CM002237.1;CM002237.1;CM002237.1	2961848;2962095;2964308	2962020;2964248;2964563	-;-;-	2583	1465	1389	904	3566	4435	4449	3476	412	338	876	169	68	514	124	257	43	20	16	746
NCU01610	CM002237.1	2965837	2966499	-	663	134	129	46	328	430	410	288	16	4	27	6	10	12	10	27	2	0	2	15
NCU01608	CM002237.1;CM002237.1	2969604;2971023	2970960;2971561	-;-	1896	170	126	124	350	411	385	365	68	22	66	246	192	116	66	289	58	6	1	146
NCU01607	CM002237.1;CM002237.1	2973872;2974238	2974173;2975174	+;+	1239	425	405	218	927	974	1163	906	123	45	176	258	121	262	96	337	28	4	0	152
NCU01606	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2976580;2976807;2977160;2977658	2976693;2976899;2977471;2977801	-;-;-;-	663	7403	9962	6835	24477	29984	30033	24522	2926	2036	3306	1408	929	2434	947	2693	232	95	32	4205
mob-1	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2978501;2978896;2979056;2979451	2978666;2978989;2979222;2979473	-;-;-;-	450	678	757	480	2445	2745	2714	2542	176	132	273	174	39	166	72	287	16	4	4	384
NCU01601	CM002237.1;CM002237.1;CM002237.1	2981788;2982233;2982376	2982107;2982301;2982553	-;-;-	567	1709	2002	1276	3963	5384	5174	3951	264	162	348	349	108	235	207	661	54	30	10	574
NCU01599	CM002237.1;CM002237.1	2983687;2984181	2984109;2985470	+;+	1713	844	907	645	2651	3256	3098	2711	614	286	720	238	90	412	199	451	50	28	30	810
NCU01598	CM002237.1	2986231	2987316	-	1086	82	141	71	257	340	319	288	1476	122	673	275	157	235	162	371	20	2	3	763
NCU01597	CM002237.1;CM002237.1	2988369;2991114	2991059;2996882	+;+	8460	862	708	371	1832	2523	2476	2010	165	130	193	46	10	100	48	81	148	124	73	328
rpn-6	CM002237.1;CM002237.1;CM002237.1	2997323;2998405;2998560	2998329;2998487;2998744	-;-;-	1275	2809	3867	2261	9490	11431	11294	9218	985	596	1265	626	174	575	406	955	73	20	6	1077
NCU01595	CM002237.1;CM002237.1;CM002237.1	2999524;2999610;3000702	2999529;3000641;3001001	+;+;+	1338	269	358	195	898	994	1078	797	172	80	175	14	12	91	15	83	2	6	17	264
NCU01593	CM002237.1;CM002237.1	3002795;3004525	3004338;3004549	-;-	1569	8	1	0	14	14	11	4	48	5	81	6	4	26	1	7	2	0	0	22
NCU01592	CM002237.1	3005855	3007117	+	1263	2	0	2	9	4	10	4	2	0	10	6	2	2	2	10	0	5	4	6
NCU01591	CM002237.1;CM002237.1;CM002237.1	3008572;3008954;3009978	3008830;3009906;3010466	+;+;+	1701	54	41	32	94	134	150	77	10	4	16	41	22	16	2	35	2	2	0	13
hsp60	CM002237.1;CM002237.1;CM002237.1	3013051;3013213;3013432	3013131;3013354;3014933	+;+;+	1725	2633	2949	3132	7310	8830	8913	7357	1879	1558	2420	120	288	2063	90	324	4	44	32	2292
NCU01587	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	3017312;3017312;3017410;3017410;3017775;3017775;3018351;3018351;3018571;3018571	3017314;3017314;3017420;3017420;3017961;3017961;3018473;3018473;3018711;3018711	+;+;+;+;+;+;+;+;+;+	465	13603	19338	11385	38498	47905	47483	38671	5021	3001	5662	2518	986	2994	1483	5285	299	111	52	5355
NCU01585	CM002237.1;CM002237.1	3019822;3020715	3020571;3020828	-;-	864	1991	1782	1491	3942	5096	4968	3828	1058	471	1079	789	144	441	388	1754	34	12	18	1505
NCU01584	CM002237.1;CM002237.1	3022013;3022794	3022596;3025248	-;-	3039	795	751	461	2359	3015	2832	2248	199	123	256	171	80	300	114	216	124	53	52	322
NCU01581	CM002237.1;CM002237.1	3028772;3029198	3028943;3030492	+;+	1467	371	468	231	1230	1583	1555	1263	46	24	58	105	24	44	74	222	22	16	20	213
NCU01580	CM002237.1	3030855	3032174	-	1320	270	335	223	684	1029	991	783	76	28	60	23	29	50	53	92	11	2	2	204
NCU01579	CM002237.1	3035272	3035481	-	210	99	177	81	301	389	378	288	94	36	64	224	126	378	28	191	2	0	0	73
NCU01577	CM002237.1;CM002237.1	3036911;3037049	3036983;3038061	-;-	1086	595	517	337	1401	1692	1833	1498	317	160	318	278	124	182	88	340	12	12	6	322
NCU01575	CM002237.1;CM002237.1	3038695;3038955	3038891;3039636	+;+	879	2208	2356	1547	6263	7331	7213	6312	2013	1066	3111	447	432	2543	337	1236	77	59	24	1912
NCU01573	CM002237.1;CM002237.1	3044747;3045767	3045706;3046162	+;+	1356	252	176	197	465	552	555	467	62	18	80	320	115	120	130	469	34	0	0	98
NCU01572	CM002237.1;CM002237.1;CM002237.1;CM002237.1	3046588;3048011;3048117;3048548	3047959;3048062;3048494;3049316	-;-;-;-	2571	507	404	325	954	1285	1276	1042	85	16	112	787	195	218	285	1161	92	10	13	156
NCU01571	CM002237.1;CM002237.1;CM002237.1	3050759;3050844;3051797	3050767;3051711;3052179	+;+;+	1260	1096	1384	874	3170	3670	3926	3221	1022	481	1345	516	224	582	281	896	24	16	0	935
NCU01570	CM002237.1;CM002237.1	3052853;3054726	3054695;3055261	-;-	2379	573	680	373	1537	2032	1851	1625	361	226	782	224	104	363	122	342	16	8	4	244
NCU01569	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	3056692;3056805;3056969;3058373;3058636;3059901	3056725;3056886;3058295;3058583;3059834;3060131	+;+;+;+;+;+	3084	782	1155	583	3157	3834	3777	3177	583	387	1009	151	156	374	100	263	84	48	30	731
NCU01568	CM002237.1	3060634	3061641	-	1008	227	251	205	529	729	769	535	52	44	62	50	12	16	27	135	4	2	7	104
