# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-p" "-a" "/scratch/evt82290/histone_chaperone_plot_FINAL/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_FINAL/readcounts_FINAL.txt" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam
NCU06782	CM002237.1	1950962	1952648	-	1687	210	206	180	165	242	201	247	147	41	166	162	4	18	94	115	215	227	5	63	237	242	22	386	322	311	88	74	12
NCU06781	CM002237.1;CM002237.1;CM002237.1	1953766;1954352;1955697	1954218;1955630;1956330	+;+;+	2366	36616	41915	33280	25835	28425	28922	37610	26244	5277	34264	33133	1453	1140	16941	13716	18828	20004	1143	5002	23175	18135	2734	28016	27811	26845	12453	11639	764
NCU06780	CM002237.1	1956500	1958790	-	2291	896	827	962	886	928	810	1188	832	254	248	270	8	18	407	294	813	697	30	141	646	563	74	914	795	903	372	388	14
NCU06779	CM002237.1;CM002237.1;CM002237.1;CM002237.1	1958928;1959501;1960582;1960777	1959443;1960509;1960717;1961485	-;-;-;-	2370	4614	5265	5134	4406	4672	4717	7257	4945	1014	5283	5633	237	179	2532	1822	4150	4525	219	1187	4910	3947	605	5494	5511	5961	2474	2183	87
NCU06778	CM002237.1	1961799	1963501	+	1703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU06777	CM002237.1;CM002237.1	1961863;1964368	1964259;1965266	-;-	3296	1936	2210	1800	1697	1822	1626	3414	2450	556	1238	1307	59	86	1013	956	1579	1811	134	317	1397	1206	206	2114	2146	2375	948	958	30
NCU06776	CM002237.1;CM002237.1;CM002237.1	1965353;1965765;1966650	1965699;1966591;1967811	+;+;+	2336	3106	2801	3083	2714	2786	2609	5565	4166	882	1119	1140	51	129	1632	1304	2881	3047	139	514	2326	1875	387	3805	4060	4197	1130	1286	78
NCU16549	CM002237.1	1967973	1970764	+	2792	790	794	750	733	725	690	1098	835	191	433	538	22	14	310	284	666	769	54	96	607	461	99	1282	1051	1160	292	312	12
NCU16550	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	1972279;1972511;1973138;1973801;1974761;1975031	1972435;1972904;1973723;1974685;1974942;1975664	+;+;+;+;+;+	2838	89	115	80	107	139	127	108	87	10	46	77	2	0	56	24	100	119	2	53	140	119	6	92	72	63	34	27	0
NCU06774	CM002237.1	1976563	1980496	+	3934	1451	1374	1402	1119	1119	1130	1743	1322	293	888	793	49	29	531	350	1173	1383	73	156	667	645	178	1654	1689	1561	495	446	25
NCU06773	CM002237.1	1980829	1983645	+	2817	720	561	593	551	612	648	689	420	102	480	673	19	26	293	241	602	646	52	162	657	603	42	757	889	717	260	288	24
NCU15268	CM002237.1	1983744	1983817	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
NCU06772	CM002237.1	1984184	1987088	-	2905	1369	1378	1301	1262	1166	1281	1352	969	197	810	740	32	46	534	509	1130	1202	70	276	1096	1084	120	1404	1517	1315	537	462	22
NCU06771	CM002237.1;CM002237.1;CM002237.1;CM002237.1	1987258;1988400;1988540;1988671	1988310;1988466;1988598;1989097	-;-;-;-	1606	2403	2204	2448	2126	2150	1880	4083	3054	594	1265	1215	68	112	858	910	2264	2882	143	465	2365	1673	398	4057	3947	4101	957	1114	90
NCU06769	CM002237.1;CM002237.1;CM002237.1	2002120;2002744;2003427	2002675;2003366;2003589	-;-;-	1342	612	579	614	628	760	505	1757	1142	291	177	193	8	28	274	307	561	705	29	123	603	427	104	858	899	879	203	264	8
NCU06768	CM002237.1;CM002237.1;CM002237.1	2003927;2004298;2004524	2004228;2004439;2005200	-;-;-	1121	2614	3179	2760	2733	2822	2831	6244	4431	905	1858	1838	81	66	1759	1801	2096	2094	147	586	3252	2327	302	3144	2955	3178	1373	1478	69
NCU06767	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2005400;2005849;2005951;2006056;2008819	2005786;2005894;2005992;2008749;2009406	+;+;+;+;+	3757	2691	3043	2564	2580	2808	2417	5897	4324	892	1396	1679	66	89	833	773	2336	2771	160	617	2299	2313	380	3942	3883	3710	992	842	39
NCU06766	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2009452;2011357;2014148;2014342	2011306;2014087;2014190;2015181	-;-;-;-	5469	879	741	833	952	1062	998	886	623	143	565	600	27	22	277	249	1028	1107	58	292	1031	865	116	1073	891	929	329	333	12
NCU06765	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2015534;2016186;2016451;2016919	2015994;2016314;2016820;2017602	+;+;+;+	1644	444	423	374	397	460	508	294	187	52	290	254	12	17	216	202	402	404	13	96	466	312	30	389	423	428	204	185	22
NCU06764	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2017630;2017961;2018723;2018873;2018963	2017891;2018587;2018773;2018892;2019341	-;-;-;-;-	1339	5980	7356	6234	7327	7948	7434	11481	7790	1804	5046	5540	238	164	4012	4622	7016	8077	422	1571	7167	5293	914	9494	9784	9654	3067	3882	178
NCU06763	CM002237.1;CM002237.1	2019543;2020834	2020773;2021559	+;+	1957	1790	1742	1907	2003	2204	2006	2739	1762	409	1361	1276	55	80	1460	1131	1891	2238	134	478	2072	1378	318	2554	2582	2636	928	1071	66
NCU06762	CM002237.1;CM002237.1;CM002237.1	2021761;2022998;2023507	2022878;2023425;2024554	+;+;+	2594	1572	1645	1567	1426	1453	1432	1948	1342	311	767	922	48	36	595	606	1106	1264	84	246	1368	1031	185	1798	1919	1841	694	610	28
NCU06761	CM002237.1;CM002237.1	2025064;2025730	2025484;2027709	+;+	2401	4801	4734	4957	4001	4524	4812	6260	3872	970	7770	7548	356	200	2265	2196	5476	6025	286	1562	7197	4270	601	6365	6089	6402	2662	2618	176
NCU06760	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2027845;2028935;2030001;2030226	2028875;2029920;2030149;2031163	-;-;-;-	3104	6282	9080	6515	5362	6421	7181	7113	4921	943	12065	11940	557	156	1724	1981	4437	4292	278	2129	7382	6206	551	5673	5578	5827	4125	2679	115
NCU06759	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2032917;2032917;2033682;2034983;2034983;2035144;2035144	2034902;2033564;2034902;2035062;2035062;2036333;2036333	+;+;+;+;+;+;+	3256	1316	1311	1197	1193	1116	1301	1399	952	201	704	820	30	33	280	403	1375	1517	75	330	1371	1254	116	1449	1512	1507	609	444	10
NCU06758	CM002237.1;CM002237.1	2036222;2040832	2040697;2041135	-;-	4780	1483	1255	1119	1414	1427	1215	1817	1204	223	361	393	18	16	454	282	1406	1411	91	323	1414	1625	40	712	664	665	608	307	14
NCU06757	CM002237.1;CM002237.1	2042042;2042612	2042456;2044794	+;+	2598	1397	1256	1077	1547	1666	1473	1414	1176	203	352	266	16	33	476	358	1667	1463	126	344	1615	1571	72	792	936	786	654	430	16
NCU06756	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2045099;2045394;2046366;2046366;2048456;2048456	2046313;2046313;2048408;2048399;2049488;2050529	-;-;-;-;-;-	5332	552	668	646	606	631	731	917	541	117	953	775	26	10	346	261	584	557	48	95	530	378	48	678	722	626	191	334	12
NCU06754	CM002237.1;CM002237.1	2053109;2055141	2055062;2056766	+;+	3580	796	1005	736	833	1192	1213	1844	1316	267	1172	1041	55	25	332	480	779	858	43	457	2141	1465	97	863	851	864	439	385	22
NCU11158	CM002237.1;CM002237.1;CM002237.1	2057548;2058928;2059059	2058862;2059005;2059326	-;-;-	1661	571	509	560	577	588	564	803	533	143	321	397	20	10	155	208	488	530	20	101	448	422	57	715	686	576	174	206	19
NCU11159	CM002237.1;CM002237.1	2059527;2060414	2060345;2060829	-;-	1235	323	340	294	268	223	238	566	437	97	139	161	2	12	225	199	243	323	14	61	213	174	38	359	402	359	218	161	14
NCU06752	CM002237.1;CM002237.1;CM002237.1	2061093;2061511;2063644	2061447;2063449;2064594	+;+;+	3245	1498	1565	1484	1363	1222	949	3792	2953	653	329	341	11	22	762	618	708	730	41	65	347	302	101	878	874	944	470	497	14
NCU06751	CM002237.1;CM002237.1	2064758;2065458	2065305;2066146	+;+	1237	432	468	435	534	572	557	1466	954	219	282	293	23	13	137	177	489	594	17	126	646	438	32	565	562	521	209	213	9
NCU06750	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2065875;2066604;2066850;2067037	2066525;2066707;2066889;2067265	-;-;-;-	1024	2135	2090	1933	2221	2393	2158	3508	2640	554	712	872	50	96	873	1092	1752	2022	142	476	1738	1502	221	2406	2301	2188	1037	1051	55
NCU06749	CM002237.1	2067464	2069171	+	1708	11	9	3	8	6	2	9	8	3	1	3	0	0	2	0	4	2	0	2	1	7	0	6	2	9	0	2	0
NCU06748	CM002237.1;CM002237.1	2067680;2069976	2069837;2070301	-;-	2484	1372	1661	1511	1462	1646	1610	3579	2596	520	873	1070	20	78	1004	1022	1341	1454	77	327	1320	1200	201	1799	1802	1781	891	866	60
NCU06747	CM002237.1;CM002237.1	2070758;2071914	2071850;2072548	+;+	1728	472	334	431	484	585	511	634	401	109	211	273	17	27	197	161	571	872	39	100	421	263	140	1514	1558	1539	169	298	16
NCU06746	CM002237.1;CM002237.1	2072837;2073374	2073279;2074616	+;+	1686	3306	3547	3031	3586	3699	3608	7854	5289	1059	2072	2057	64	90	2202	1695	3370	3917	201	966	4196	2565	374	3212	3224	3220	1603	1796	135
NCU06745	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2075817;2075817;2077570;2077570;2077687;2077687;2078264	2077513;2077513;2077631;2077631;2078187;2078102;2078478	-;-;-;-;-;-;-	2475	416	495	439	477	465	430	708	555	131	218	262	13	26	216	134	548	727	64	121	600	359	78	715	748	716	390	287	22
NCU06744	CM002237.1;CM002237.1	2079923;2081080	2081001;2082907	+;+	2907	1335	1534	1560	1345	1403	1499	2396	1576	306	1046	1055	44	48	525	634	1213	1354	60	333	1348	1181	148	1566	1450	1485	672	496	24
NCU16552	CM002237.1;CM002237.1	2083141;2084416	2084160;2084663	-;-	1268	577	611	511	500	584	585	738	488	105	421	607	25	21	261	370	666	870	60	176	741	595	103	1049	1035	974	410	338	15
NCU06743	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2084680;2085624;2086281;2086473	2085537;2085983;2086318;2086624	-;-;-;-	1408	78788	96006	80401	68284	75070	70529	108444	82001	15859	39063	42600	2241	2651	39650	34376	60350	59240	3948	14808	77601	51903	6232	65889	67152	62585	36869	37555	2454
NCU06742	CM002237.1	2086790	2088381	+	1592	1353	1337	1390	1388	1466	1442	2172	1423	309	1046	1164	45	60	743	833	1739	2045	76	207	1099	941	190	2441	2422	2281	789	783	76
NCU06741	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2088258;2088697;2088935;2089556	2088616;2088760;2089047;2089762	-;-;-;-	743	13888	16006	15107	15335	17361	16451	26990	18558	3974	15440	17318	764	694	11896	9862	14303	15921	838	4220	22511	14576	2606	25073	24856	26794	8758	11467	709
NCU06740	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2090095;2090453;2090637;2090786;2091183	2090351;2090468;2090702;2091119;2091235	+;+;+;+;+	726	6041	6504	6219	7135	7051	6932	12503	8585	1935	5905	6079	279	379	5649	4618	6702	7681	494	2082	10992	7332	1076	10341	10095	11501	5063	5374	388
NCU06739	CM002237.1;CM002237.1	2091090;2091551	2091476;2092203	-;-	1040	1006	1142	1166	988	1057	957	1498	1207	293	597	607	20	35	510	626	872	1077	45	159	675	445	142	1131	1245	1134	578	624	35
NCU06738	CM002237.1;CM002237.1;CM002237.1	2092609;2093299;2096887	2093237;2096818;2097550	+;+;+	4813	4943	4790	4803	5252	5014	5184	6762	4955	1025	4827	4201	200	216	2116	1464	5368	6052	319	1059	4613	4155	631	6788	6953	6473	2345	1773	112
NCU06737	CM002237.1;CM002237.1;CM002237.1	2097643;2098900;2100710	2098837;2100654;2102457	-;-;-	4698	14980	15215	13372	12147	13044	12629	17776	12305	2353	15461	13673	587	428	5673	4034	11110	13132	606	2994	11601	9412	1863	18853	18903	18425	4847	4871	325
NCU06735	CM002237.1;CM002237.1	2103919;2106431	2106356;2107182	-;-	3190	1021	1012	908	879	925	1028	1171	791	156	1286	1244	55	28	351	476	857	947	34	268	1156	749	108	906	855	950	368	355	16
NCU06734	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2107352;2108527;2108710;2109057;2111073	2108436;2108646;2108976;2110990;2111810	+;+;+;+;+	4144	1031	1117	918	1071	1146	1303	1355	1092	168	984	882	47	24	422	463	933	911	72	261	1025	928	69	884	810	885	412	329	21
NCU10430	CM002237.1;CM002237.1;CM002237.1	2111818;2112583;2113036	2112354;2112946;2113428	-;-;-	1294	1779	1953	1903	2064	2218	2128	5814	3968	976	1339	1275	47	49	865	1010	2003	2294	144	488	2164	1492	249	2658	2570	2497	852	937	56
NCU11427	CM002237.1;CM002237.1;CM002237.1	2170807;2171342;2172286	2171226;2172230;2172867	+;+;+	1891	2652	2578	2560	2460	2620	2724	3779	2675	586	1649	1893	82	62	1329	1205	2088	2302	120	458	2127	1680	304	2890	2993	3063	1234	1209	82
NCU11426	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2173810;2174520;2174835;2175099;2175274;2176196;2178190	2174435;2174719;2174919;2175224;2176135;2178083;2178532	+;+;+;+;+;+;+	4130	3079	3108	3269	3661	3762	3767	4034	2929	579	2697	2392	90	104	1446	1349	3137	3173	201	611	2529	2260	352	3072	3407	3213	1475	1242	79
NCU01846	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2181368;2181368;2181482;2182915;2182915;2183034;2183034	2182674;2182970;2182674;2185210;2182970;2185210;2185206	+;+;+;+;+;+;+	3843	3087	2989	3272	2463	2607	2633	3659	2610	531	3124	3729	116	111	1580	1392	3372	4149	252	643	2756	2157	586	6623	6856	6318	1299	1568	104
NCU01845	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2186150;2186150;2187984;2187984;2188517;2188517;2188674	2187912;2187912;2188439;2188439;2189358;2188591;2189358	-;-;-;-;-;-;-	3061	3096	3538	2565	2811	3163	3545	3990	2526	481	6648	6911	355	156	1366	1364	3174	3847	213	783	3160	2317	451	4897	5235	5260	1533	1525	79
NCU01844	CM002237.1	2190090	2191927	+	1838	4	7	5	2	1	3	2	4	0	2	1	0	0	2	0	6	6	1	1	3	3	0	12	14	10	0	1	0
NCU01843	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2190292;2191932;2192644;2193300;2193603;2193792	2191848;2192569;2193234;2193508;2193669;2194051	-;-;-;-;-;-	3322	8812	9609	8180	9214	9046	9580	14303	10133	2110	5079	4851	215	174	2911	3385	7975	8577	430	1490	6548	5596	877	7742	8071	8017	3103	3395	154
NCU01842	CM002237.1;CM002237.1;CM002237.1	2194249;2196370;2196878	2196308;2196805;2197143	-;-;-	2762	1191	1256	1159	837	924	747	1711	1262	257	608	624	21	28	297	389	988	1172	66	161	543	521	168	1616	1516	1496	365	392	10
NCU01841	CM002237.1;CM002237.1	2197663;2197990	2197921;2198243	+;+	513	323	408	311	295	286	273	392	239	43	238	173	7	0	81	92	222	297	17	50	175	189	19	274	261	247	59	80	4
NCU01840	CM002237.1;CM002237.1	2198955;2199400	2199312;2202322	+;+	3281	898	1204	879	889	938	1021	1445	956	221	921	794	35	10	411	524	945	1045	35	165	949	644	114	929	939	941	448	400	28
NCU01839	CM002237.1;CM002237.1	2203152;2204637	2204519;2206327	+;+	3059	1919	2007	1850	1627	1902	2108	2430	1586	340	1959	2061	88	57	800	868	1926	2260	99	461	2049	1625	236	2316	2432	2177	1006	825	66
NCU01838	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2206814;2207313;2207426;2208404;2208404	2207359;2208325;2208325;2208854;2209054	-;-;-;-;-	2163	5803	6647	6323	6460	6919	6863	8022	5692	1282	7597	7297	380	143	2308	2980	6744	7168	397	2003	9184	5952	849	7149	6994	7486	2513	2614	93
NCU01837	CM002237.1;CM002237.1	2213888;2214109	2214012;2214382	+;+	399	105	71	104	50	73	69	73	42	10	108	102	5	10	37	64	248	259	26	28	229	99	12	153	162	166	154	100	10
NCU14134	CM002237.1;CM002237.1	2215684;2216021	2215913;2216647	+;+	857	766	1124	711	939	963	1052	468	298	82	914	855	29	25	427	752	576	597	26	178	981	550	61	591	606	587	529	522	25
NCU01835	CM002237.1	2229855	2231363	+	1509	19715	33417	25498	22880	26622	26837	17730	11218	2190	22107	24670	1146	757	9414	13633	17575	18286	1178	5451	22147	20089	1783	17113	17242	17769	11704	9314	513
NCU01834	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2243829;2244084;2244362;2244595	2243958;2244214;2244490;2245071	+;+;+;+	867	50	25	50	53	32	36	26	25	2	33	31	0	4	38	14	52	64	2	11	87	33	8	32	52	50	15	33	0
NCU01833	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2248100;2248100;2249083;2249083;2255719;2256208;2256208	2249013;2249013;2256148;2255665;2256148;2256430;2256430	-;-;-;-;-;-;-	8203	2816	3781	3111	3006	3110	3205	3718	2968	528	4373	3985	197	39	896	843	2751	2723	160	542	2470	2402	247	2504	2638	2554	910	779	66
NCU01831	CM002237.1;CM002237.1	2259896;2260803	2260735;2262383	+;+	2421	875	788	926	1017	933	950	2587	1737	373	313	310	20	18	322	315	951	1199	75	262	897	796	112	1268	1249	1283	229	297	10
NCU01830	CM002237.1	2262620	2264382	-	1763	107	123	132	102	82	68	160	92	21	70	70	6	4	76	98	72	76	8	9	79	74	6	48	45	44	72	55	2
NCU01828	CM002237.1;CM002237.1	2265000;2266566	2266506;2266935	-;-	1877	490	352	378	390	408	482	644	501	100	248	272	11	19	189	184	413	489	30	79	340	304	48	436	420	477	169	179	16
NCU01829	CM002237.1	2265232	2266407	+	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU01827	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2266974;2267301;2267704;2268133	2267203;2267374;2268040;2268834	+;+;+;+	1343	68626	90746	73316	73268	78311	73046	116429	83454	17325	50216	58261	2969	2601	37300	34544	53612	55126	3743	16514	78689	58126	7220	77672	77580	76198	37146	43332	1991
NCU01826	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2269602;2270713;2271189;2271486;2271636	2270655;2271120;2271412;2271553;2272237	-;-;-;-;-	2356	4828	4492	4751	3656	4053	3405	6414	4506	996	2077	2228	89	174	2311	1910	4255	5449	198	656	3245	2451	782	7055	7327	7708	2399	2243	168
NCU01824	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2276044;2276524;2276708;2277194	2276381;2276593;2277139;2278472	+;+;+;+	2119	10818	10984	11975	10014	10552	9352	17640	11894	2710	4637	5533	238	504	5185	5225	10472	12118	667	2165	9364	7191	1785	18372	18100	18177	5572	5222	295
NCU01823	CM002237.1;CM002237.1;CM002237.1	2282057;2282482;2290392	2282346;2290188;2291659	+;+;+	9265	1579	1703	1652	1813	2085	1920	1992	1542	284	2206	1989	109	66	782	718	2023	2023	133	321	1632	1371	214	1868	1949	1940	843	754	31
NCU01822	CM002237.1;CM002237.1	2291470;2292596	2292515;2293076	-;-	1527	2140	2457	2285	2326	2477	2457	4909	3449	833	1599	1801	81	78	1391	1253	2105	2286	101	543	2214	1657	280	2758	2672	2948	1140	1225	88
NCU01821	CM002237.1;CM002237.1;CM002237.1	2293203;2294173;2294871	2294108;2294798;2295462	+;+;+	2124	6095	6690	6275	6368	6317	6111	12283	8139	1994	3604	3390	164	224	3747	3009	5701	5730	328	1465	6641	4935	642	7107	6994	6976	3466	3087	199
NCU01820	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2296678;2297433;2297537;2297678;2297829;2298607;2300703	2297364;2297462;2297609;2297749;2298553;2300639;2301281	+;+;+;+;+;+;+	4199	6863	6926	6740	6030	6239	5915	11164	7745	1554	4427	4593	229	154	1994	2008	6073	6937	397	1249	4799	4492	887	7723	7968	8183	2513	2286	100
NCU01819	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2303529;2304525;2305567;2306160;2306160	2305498;2306095;2306095;2307573;2307573	-;-;-;-;-	3981	1113	909	1054	1080	1127	1176	1397	950	200	781	867	44	36	457	404	1011	1156	47	337	1232	923	79	1061	1030	1149	381	348	22
NCU01818	CM002237.1;CM002237.1	2310836;2311769	2311706;2313031	+;+	2134	937	932	796	913	977	947	1341	1005	154	553	492	25	38	539	419	553	718	41	214	723	513	101	935	951	884	388	341	27
NCU14135	CM002237.1;CM002237.1	2315106;2315246	2315188;2315668	+;+	506	2	6	0	0	1	0	0	2	0	2	1	0	0	0	4	0	0	0	0	20	2	0	0	0	0	2	0	0
NCU10309	CM002237.1;CM002237.1;CM002237.1	2319832;2320961;2322309	2320841;2322242;2322981	-;-;-	2965	1578	1667	1723	1403	1581	1569	1618	1134	229	1197	1219	57	52	740	597	1616	1764	103	268	1195	966	172	1592	1617	1785	675	632	31
NCU01817	CM002237.1;CM002237.1;CM002237.1;CM002237.1	2326797;2328802;2329270;2329740	2328732;2329200;2329646;2330321	-;-;-;-	3294	3116	3078	2922	2917	2952	2812	3747	2864	601	1991	1963	83	75	1386	1214	2833	2830	181	645	2681	2180	400	3985	3695	3940	1324	1227	66
NCU01816	CM002237.1;CM002237.1	2330584;2332099	2332026;2332466	-;-	1811	8706	9157	8546	12106	12718	12326	12741	8309	1898	5315	5698	308	173	3801	3716	8989	8447	528	2256	9113	8119	743	8174	8233	7755	2877	3735	149
NCU01815	CM002237.1;CM002237.1	2333188;2333824	2333705;2334855	+;+	1550	3782	3337	3776	3853	4007	3731	6277	4032	947	1953	1824	70	171	1672	2146	5302	6289	345	808	3548	2388	455	5471	5346	5645	2054	2534	195
NCU01814	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2334772;2336319;2336474;2336613;2336841;2336972	2336245;2336412;2336561;2336715;2336876;2337690	-;-;-;-;-;-	2514	2477	3104	2631	2113	2352	2375	2775	1892	422	1671	1786	90	64	726	913	1767	2060	156	413	1977	1411	267	2412	2233	2507	752	842	37
NCU01813	CM002237.1;CM002237.1;CM002237.1;CM002237.1;CM002237.1	2341940;2342901;2343072;2343613;2344380	2342833;2342978;2343554;2344325;2344977	+;+;+;+;+	2766	3601	3226	3450	3137	3354	3390	4378	3106	669	2094	2165	101	121	1698	1528	3426	4010	185	674	2953	2220	474	4909	4958	4860	1539	1658	102
NCU01812	CM002237.1;CM002237.1	2345109;2346603	2346522;2347030	-;-	1842	413	523	349	656	723	687	618	416	74	302	300	9	10	132	146	137	187	0	35	369	219	17	184	197	212	129	103	6
